team,Age,pos,name,overall,Min,Goal,GoalDirFK,GoalHead,Clrnce,Int,TcklMade%,DuelsW%,display
Cavalry,25.0,rw,Nico Pasquotti,0.25,537,0,0,0,1,4,58.3,51.0,Nico Pasquotti
Atlético Ottawa,18.0,lcb,Gianfranco Facchineri,0.25,206,0,0,0,10,2,75.0,56.99999999999999,Gianfranco Facchineri
Edmonton,20.0,lb,Terique Mohammed,0.25,304,0,0,0,11,4,63.6,51.0,Terique Mohammed
Edmonton,30.0,cd,Kareem Moses,0.25,140,0,0,0,10,1,100.0,42.0,Kareem Moses
Edmonton,25.0,lb,Duran Lee,0.24,122,0,0,0,3,2,75.0,62.0,Duran Lee
Pacific,24.0,rcb,Abdoulaye Samake,0.23,89,0,0,0,2,3,100.0,43.0,Abdou Samake
Atlético Ottawa,21.0,lb,Vashon Neufville,0.23,241,0,0,0,2,6,66.7,47.0,Vashon Neufville
Valour,29.0,lcb,Chakib Hocine,0.22,66,0,0,0,2,0,100.0,44.0,Chakib Hocine
Forge,24.0,lw,Kadell Thomas,0.21,283,0,0,0,0,3,66.7,43.0,Kadell Thomas
Forge,20.0,lw,Montther Mohsen,0.21,208,0,0,0,3,1,50.0,61.0,Monti Mohsen
Valour,21.0,rb,Dante Campbell,0.2,227,0,0,0,4,6,50.0,41.0,Dante Campbell
Atlético Ottawa,25.0,lb,Jarred Phillips,0.2,290,0,0,0,6,6,42.1,42.0,Jarred Phillips
Forge,22.0,lw,Marcel Dominik Zajac,0.18,237,0,0,0,1,5,54.5,35.0,Marcel Zajac
Valour,21.0,lb,Raphaël Garcia,0.18,26,0,0,0,1,1,66.7,50.0,Raphaël Garcia
HFX Wanderers,18.0,rcb,Luke Green,0.16,90,0,0,0,3,1,50.0,43.0,Luke Green
Forge,27.0,lw,Jonathan Grant,0.14,274,0,0,0,6,7,14.3,28.000000000000004,Jonathan Grant
Cavalry,24.0,lw,Jair Ayrton Córdova Carpio,0.13,71,1,0,0,1,0,0.0,31.0,Jair Córdova
