team,name,number,position,minutes,goals,assists,touches,passes,pass-acc,crosses,cross-acc,chances,duels,tackles,overall,new_overall
Y9,Kyle Porter,19,m,90,0.24,0.24,46.69,30.97,97.1,5.81,33.3,1.94,7.02,0.73,0.45,0.52
HFX,Scott Firth,15,m,90,0.0,0.0,66.12,49.59,100.0,0.0,0.0,0.92,8.27,1.84,0.22,0.52
FFC,Elimane Cissé,3,m,90,0.0,0.0,72.96,42.49,81.8,2.2,0.0,0.8,16.44,4.01,0.46,0.51
VFC,Diego Gutiérrez,8,m,90,0.0,0.0,71.41,56.32,81.3,1.47,0.0,0.55,7.91,1.47,0.41,0.51
ATO,Michel Djaozandry,12,m,90,0.0,0.0,60.0,15.0,100.0,0.0,0.0,0.0,30.0,15.0,0.18,0.5
Y9,Max Ferrari,16,m,90,0.0,0.0,46.14,26.2,71.4,2.85,50.0,0.57,15.95,1.71,0.27,0.49
HFX,Aboubacar Sissoko,17,m,90,0.0,0.0,62.72,47.84,76.3,0.29,0.0,0.73,12.54,2.77,0.49,0.46
HFX,Louis Béland-Goyette,5,m,90,0.0,0.0,58.33,46.39,83.9,0.83,0.0,1.11,11.25,2.22,0.51,0.46
ATO,Malyk Hamilton,2,m,90,0.0,0.14,60.71,39.0,93.2,3.71,0.0,0.57,6.43,1.57,0.51,0.46
VFC,Raphael Ohin,27,m,90,0.0,0.0,61.73,49.74,84.2,0.0,0.0,0.72,8.05,1.25,0.39,0.46
ATO,Francisco Javier Acuña Víctor,8,m,90,0.34,0.34,58.53,39.59,85.0,2.88,0.0,1.69,11.33,1.86,0.56,0.45
FFC,Paolo Sabak,24,m,90,0.28,0.28,57.98,43.45,84.4,1.13,0.0,1.41,10.72,0.71,0.57,0.45
FFC,Kyle Bekker,10,m,90,0.39,0.13,60.13,42.62,80.6,5.15,0.0,1.55,9.53,1.42,0.66,0.45
FCE,Chance Carter,14,m,90,0.0,0.0,50.1,37.68,100.0,0.0,0.0,0.89,9.31,3.1,0.27,0.45
PFC,Matthew Baldisimo,8,m,90,0.0,0.11,60.86,49.27,72.9,0.22,0.0,0.56,11.14,2.81,0.6,0.44
Y9,Ryan Telfer,18,m,90,0.0,0.0,44.85,22.35,71.4,6.39,37.5,1.6,12.77,1.31,0.55,0.44
VFC,Stefan Cebara,14,m,90,0.0,0.0,60.52,39.69,80.5,0.39,0.0,0.79,8.84,1.18,0.36,0.43
Y9,Manuel Aparicio,10,m,90,0.34,0.0,62.32,44.83,66.7,1.7,0.0,1.7,12.4,2.21,0.5,0.43
ATO,Ben McKendry,22,m,90,0.0,0.0,63.31,46.99,58.8,0.88,0.0,0.44,12.79,4.85,0.39,0.42
CFC,Elliot Simmons,15,m,90,0.0,0.0,64.59,53.11,60.0,0.72,0.0,0.57,9.47,1.58,0.45,0.42
HFX,Andre Rampersad,18,m,90,0.0,0.25,55.36,40.56,77.8,0.49,0.0,0.99,12.21,1.85,0.58,0.42
ATO,Ajay Khabra,23,m,90,0.0,0.0,47.34,39.16,92.0,0.29,0.0,0.29,9.94,1.17,0.29,0.42
VFC,Dante Campbell,48,m,90,0.0,0.0,62.25,37.67,71.4,0.4,0.0,0.4,11.5,2.38,0.26,0.41
FFC,Alexander Achinioti-Jönsson,13,m,90,0.26,0.0,53.42,41.32,78.9,0.26,0.0,0.26,9.08,1.71,0.48,0.41
FCE,Yong-Chan Son,7,m,90,0.0,0.0,51.68,33.86,83.3,1.49,0.0,1.19,8.91,1.19,0.3,0.4
VFC,Dylan Carreiro,10,m,90,0.27,0.0,50.12,31.8,81.8,5.66,0.0,1.89,8.62,1.35,0.37,0.4
PFC,Alessandro Hojabrpour,21,m,90,0.0,0.0,51.32,38.19,79.2,0.24,0.0,0.49,8.03,2.92,0.33,0.4
FCE,Keven Steven Alemán Bustos,11,m,90,0.17,0.0,57.15,35.36,69.6,3.69,0.0,1.34,13.74,1.68,0.48,0.4
PFC,Josh Heard,11,m,90,0.41,0.41,40.87,20.23,100.0,4.95,0.0,0.83,12.8,0.41,0.32,0.4
HFX,Cory Bent,23,m,90,0.19,0.0,42.66,23.39,60.0,4.49,30.0,1.31,13.1,1.68,0.45,0.39
PFC,Sean Young,20,m,90,0.0,0.0,53.05,39.54,66.7,0.2,0.0,0.99,10.93,2.38,0.38,0.38
ATO,Víctor Martínez Manrique,5,m,90,0.17,0.0,52.67,39.17,72.4,0.33,0.0,0.0,9.67,1.33,0.38,0.38
VFC,Solomon Kojo Antwi,25,m,90,0.0,0.0,50.77,24.23,75.0,0.0,0.0,0.0,18.46,5.77,0.2,0.38
FCE,Antony Caceres,20,m,90,0.0,0.36,45.36,27.22,83.3,0.73,0.0,1.45,12.7,1.81,0.31,0.37
CFC,Bruno Zebie,16,m,90,0.0,0.0,46.12,30.0,80.0,0.56,0.0,0.56,12.0,2.25,0.38,0.37
PFC,Jamar Dixon,22,m,90,0.17,0.0,44.14,32.0,75.0,0.0,0.0,0.68,11.29,3.08,0.42,0.36
VFC,Fraser Aird,33,m,90,0.2,0.0,50.04,31.45,68.0,4.95,0.0,1.78,6.33,0.4,0.4,0.35
CFC,Sergio Camargo,10,m,90,0.69,0.0,44.31,27.0,72.7,2.77,0.0,0.69,8.31,2.08,0.23,0.34
HFX,Alex Marshall,7,m,90,0.0,0.37,46.37,27.57,66.7,2.92,0.0,1.28,14.24,1.28,0.46,0.34
ATO,Antoine Coupland,11,m,90,0.0,0.0,26.91,11.13,100.0,0.0,0.0,0.0,14.85,3.71,0.21,0.33
ATO,Ben Fisk,10,m,90,0.15,0.0,42.38,27.55,73.1,2.25,0.0,0.75,9.73,1.95,0.45,0.33
Y9,Isaiah Johnston,44,m,90,0.0,0.0,70.0,50.0,0.0,0.0,0.0,0.0,15.0,10.0,0.01,0.3
HFX,Omar Kreim,8,m,90,0.25,0.0,56.44,30.58,0.0,1.99,0.0,1.24,15.66,2.49,0.22,0.2
Y9,Michael Petrasso,21,m,90,0.0,0.0,29.77,13.85,33.3,2.77,0.0,0.0,6.92,0.0,0.16,0.14
VFC,Moses Dyer,6,m,90,0.33,0.0,44.5,23.91,0.0,1.0,0.0,1.0,15.61,1.0,0.14,0.14
