team,name,number,position,first,last,minutes,touches,passes,pass-acc,crosses,cross-acc,assists,chances,goals,shots,s-target,s-box,s-out-box,tackles,t-won,duels,d-won,clearances,interceptions,yellow,red,f-won,f-conceded,shots faced,saves,claimed crosses,cs
FCE,Ramon Soria,5,d,Ramon,Soria,90,52,41,85.4,2,0.0,0,1,0,0,0,0,0,2,1,8,5,5,1,0,0,0,1,0,0,0,0
FCE,Terique Mohammed,57,d,Terique,Mohammed,29,10,3,66.7,0,0.0,0,0,0,0,0,0,0,1,0,5,3,1,0,0,0,1,1,0,0,0,0
FCE,Tomi Ameobi,18,f,Tomi,Ameobi,29,9,8,75.0,0,0.0,0,1,0,0,0,0,0,0,0,5,3,0,0,0,0,1,0,0,0,0,0
FCE,Yong-Chan Son,7,m,Yong-Chan,Son,61,27,12,83.3,1,0.0,0,1,0,0,0,0,0,0,0,6,1,1,0,0,0,1,1,0,0,0,0
FFC,Alexander Achinioti-Jönsson,13,m,Alexander,Achinioti-Jönsson,179,142,117,78.9,1,0.0,0,2,0,0,0,0,0,2,1,17,14,6,0,0,0,5,0,0,0,0,0
FFC,Anthony Novak,23,f,Anthony,Novak,88,40,27,57.1,0,0.0,0,1,1,1,1,1,0,0,0,14,6,0,0,0,0,3,1,0,0,0,0
FFC,Christopher Nanco,11,f,Chris,Nanco,111,34,22,33.3,1,0.0,0,0,0,2,1,0,2,0,0,13,1,0,0,0,0,0,2,0,0,0,0
FFC,Daniel Krutzen,5,d,Daniel,Krutzen,180,161,142,60.7,1,0.0,0,1,0,0,0,0,0,3,3,23,12,4,4,1,0,2,3,0,0,0,0
FFC,David Choinière,7,m,David,Choinière,113,64,35,100.0,4,100.0,1,2,0,1,0,1,0,4,3,22,10,1,0,0,0,4,2,0,0,0,0
FFC,David Edgar,30,d,David,Edgar,180,170,144,77.4,0,0.0,0,0,0,0,0,0,0,4,2,10,7,12,3,0,0,0,1,0,0,0,0
FFC,Dominic Samuel,4,d,Dominic,Samuel,102,80,56,100.0,2,0.0,0,0,0,0,0,0,0,2,0,11,8,0,2,2,0,3,2,0,0,0,0
FFC,Elimane Cissé,3,m,Elimane,Cissé,11,16,11,81.8,0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
