game,s,d,m,hs,as,home,hr,away,ar,csh,csa,combined,venue,links
II87,1,7,1,0,0,FC Edmonton,E,Forge FC,E,0,0,1-7-2020 FC Edmonton E 0-0 E Forge FC,Clarke Field,https://canpl.ca/schedule
II88,1,7,1,0,0,Atletico Ottawa,E,HFX Wanderers FC,E,0,0,1-7-2020 Atletico Ottawa E 0-0 E HFX Wanderers FC,TD Place Stadium,https://canpl.ca/schedule
II89,1,7,1,0,0,Valour FC,E,Pacific FC,E,0,0,1-7-2020 Valour FC E 0-0 E Pacific FC,IG Field,https://canpl.ca/schedule
II90,1,7,1,0,0,Cavalry FC,E,FC Edmonton,E,0,0,1-7-2020 Cavalry FC E 0-0 E FC Edmonton,ATCO Field,https://canpl.ca/schedule
II91,1,7,1,0,0,Forge FC,E,York9 FC,E,0,0,1-7-2020 Forge FC E 0-0 E York9 FC,Tim Hortons Field,https://canpl.ca/schedule
II92,1,7,1,0,0,HFX Wanderers FC,E,Forge FC,E,0,0,1-7-2020 HFX Wanderers FC E 0-0 E Forge FC,Wanderers Grounds,https://canpl.ca/schedule
II93,1,7,1,0,0,York9 FC,E,Pacific FC,E,0,0,1-7-2020 York9 FC E 0-0 E Pacific FC,York Lions Stadium,https://canpl.ca/schedule
II94,1,7,1,0,0,Atletico Ottawa,E,Forge FC,E,0,0,1-7-2020 Atletico Ottawa E 0-0 E Forge FC,TD Place Stadium,https://canpl.ca/schedule
II95,1,7,1,0,0,Valour FC,E,Cavalry FC,E,0,0,1-7-2020 Valour FC E 0-0 E Cavalry FC,IG Field,https://canpl.ca/schedule
II96,1,7,1,0,0,FC Edmonton,E,HFX Wanderers FC,E,0,0,1-7-2020 FC Edmonton E 0-0 E HFX Wanderers FC,Clarke Field,https://canpl.ca/schedule
II97,1,7,1,0,0,Forge FC,E,Valour FC,E,0,0,1-7-2020 Forge FC E 0-0 E Valour FC,Tim Hortons Field,https://canpl.ca/schedule
II98,1,7,1,0,0,HFX Wanderers FC,E,York9 FC,E,0,0,1-7-2020 HFX Wanderers FC E 0-0 E York9 FC,Wanderers Grounds,https://canpl.ca/schedule
II99,1,7,1,0,0,Atletico Ottawa,E,FC Edmonton,E,0,0,1-7-2020 Atletico Ottawa E 0-0 E FC Edmonton,TD Place Stadium,https://canpl.ca/schedule
II100,1,7,1,0,0,Pacific FC,E,Cavalry FC,E,0,0,1-7-2020 Pacific FC E 0-0 E Cavalry FC,Westhills Stadium,https://canpl.ca/schedule
II101,1,7,1,0,0,HFX Wanderers FC,E,Valour FC,E,0,0,1-7-2020 HFX Wanderers FC E 0-0 E Valour FC,Wanderers Grounds,https://canpl.ca/schedule
II102,1,7,1,0,0,Cavalry FC,E,Atletico Ottawa,E,0,0,1-7-2020 Cavalry FC E 0-0 E Atletico Ottawa,ATCO Field,https://canpl.ca/schedule
II103,1,7,1,0,0,FC Edmonton,E,York9 FC,E,0,0,1-7-2020 FC Edmonton E 0-0 E York9 FC,Clarke Field,https://canpl.ca/schedule
II104,1,7,1,0,0,Pacific FC,E,Forge FC,E,0,0,1-7-2020 Pacific FC E 0-0 E Forge FC,Westhills Stadium,https://canpl.ca/schedule
II105,1,7,1,0,0,Valour FC,E,York9 FC,E,0,0,1-7-2020 Valour FC E 0-0 E York9 FC,IG Field,https://canpl.ca/schedule
II106,1,7,1,0,0,Forge FC,E,FC Edmonton,E,0,0,1-7-2020 Forge FC E 0-0 E FC Edmonton,Tim Hortons Field,https://canpl.ca/schedule
II107,1,7,1,0,0,Cavalry FC,E,HFX Wanderers FC,E,0,0,1-7-2020 Cavalry FC E 0-0 E HFX Wanderers FC,ATCO Field,https://canpl.ca/schedule
II108,1,7,1,0,0,Atletico Ottawa,E,Pacific FC,E,0,0,1-7-2020 Atletico Ottawa E 0-0 E Pacific FC,TD Place Stadium,https://canpl.ca/schedule
II109,1,7,1,0,0,Forge FC,E,Cavalry FC,E,0,0,1-7-2020 Forge FC E 0-0 E Cavalry FC,Tim Hortons Field,https://canpl.ca/schedule
II110,1,7,1,0,0,HFX Wanderers FC,E,FC Edmonton,E,0,0,1-7-2020 HFX Wanderers FC E 0-0 E FC Edmonton,Wanderers Grounds,https://canpl.ca/schedule
II111,1,7,1,0,0,Atletico Ottawa,E,Valour FC,E,0,0,1-7-2020 Atletico Ottawa E 0-0 E Valour FC,TD Place Stadium,https://canpl.ca/schedule
II112,1,7,1,0,0,Pacific FC,E,York9 FC,E,0,0,1-7-2020 Pacific FC E 0-0 E York9 FC,Westhills Stadium,https://canpl.ca/schedule
