team,Age,pos,name,overall,Min,ExpG,ExpA,Goal,PenGoal,GoalDirFK,GoalHead,Ast,BgChnc,BgChncCrtd,ChncOpnPl,Chance,SOG,SOTInBox,SOTOBox,ShotDirFK,SOTHead,Pass%,display,number
Cavalry,21,rb,Malyk Hamilton,0.16,1275,0.55,0.73,0,0,0,0,2,1,1,6,8,1,1,0,0,0,85.0,Malyk Hamilton,21
Pacific,20,cm,Alessandro Hojabrpour,0.16,1731,0.92,0.89,0,0,0,0,0,1,1,10,12,2,1,1,0,1,85.0,Alessandro Hojabrpour,21
Edmonton,30,cf,Randy Edwini-Bonsu,0.15,363,0.59,1.57,0,0,0,0,1,0,2,5,10,6,2,4,1,0,65.0,Randy Edwini-Bonsu,11
Edmonton,19,ram,Marcus Velado-Tsegaye,0.14,486,1.57,0.41,1,0,0,0,1,2,1,3,4,6,3,3,0,0,78.0,Marcus Velado-Tsegaye,17
Edmonton,25,cf,Ajeej Sarkaria,0.11,566,0.9,0.4,0,0,0,0,1,1,1,2,2,2,1,1,0,0,76.0,Ajeej Sarkaria,9
Cavalry,22,lw,Gabriel Bitar,0.1,90,0.72,0.1,0,0,0,0,0,2,0,2,2,4,1,3,0,0,88.0,Gabriel Bitar,19
Edmonton,19,rm,Prince Amanda,0.09,137,0.16,0.41,1,0,0,0,1,0,1,1,1,1,1,0,0,0,70.0,Prince Amanda,16
York United,28,cf,Michael Cox,0.08,184,0.34,0.1,0,0,0,0,0,0,0,2,2,1,1,0,0,1,88.0,Michael Cox,92
York United,25,cf,Stefan Lamanna,0.08,77,0.17,0.53,0,0,0,0,1,0,1,1,1,0,0,0,0,0,77.0,Stefan Lamanna,21
Valour,28,cf,Stephen Hoyle,0.08,237,2.04,0.12,1,0,0,0,0,3,0,2,3,2,2,0,0,0,69.0,Stephen Hoyle,17
York United,24,ram,Austin Ricci,0.08,199,0.43,0.36,0,0,0,0,1,0,1,3,4,0,0,0,0,0,59.0,Austin Ricci,7
Valour,21,rm,Federico Peña,0.08,315,0.07,0.85,0,0,0,0,0,0,2,2,2,1,0,1,0,0,72.0,Federico Peña,77
Valour,25,cf,Calum Ferguson,0.07,344,1.24,0.0,1,0,0,0,0,1,0,0,0,3,3,0,0,0,73.0,Calum Ferguson,12
Cavalry,19,cm,Victor Loturi,0.06,137,0.36,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,84.0,Victor Loturi,13
York United,22,cf,Cyrus Rollocks,0.06,292,0.58,0.83,0,0,0,0,0,1,1,4,4,0,0,0,0,0,52.0,Cyrus Rollocks,17
Cavalry,25,lam,Oluwatofarati Fakunle,0.06,9,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,Oluwatofarati Fakunle,25
HFX Wanderers,21,cf,Vincent Lamy,0.05,88,0.12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,Vincent Lamy,14
Cavalry,17,ss,Aribim Pepple,0.05,61,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,Aribim Pepple,24
Edmonton,20,lam,David Doe,0.04,170,0.51,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,54.0,David Doe,26
HFX Wanderers,21,sa,Abd-El-Aziz Yousef,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Abd-El-Aziz Yousef,22
