team,name,Min,ExpG,ExpA,Goal,PsOnHfFl,SucflDuels,Touches,DuelLs,SucflTkls,Int,DefTouch,Clrnce,Recovery,TchsM3,Aerials
Edmonton,Allan Zebie,90,0.0,0.0,0,3,2,48,2,0,0,2,1,4,28,1
Edmonton,Allan Zebie,90,0.0,0.0,0,2,4,46,3,1,1,3,0,4,20,0
Edmonton,Allan Zebie,71,0.0,0.0,0,1,2,45,4,0,1,1,0,2,27,3
Edmonton,Allan Zebie,76,0.0,0.0,0,2,5,43,5,3,1,5,1,3,21,4
Edmonton,Allan Zebie,41,0.0,0.0,0,1,2,21,1,0,1,1,0,1,4,1
Edmonton,Jeannot Esua,90,0.0,0.0,0,1,10,87,6,2,1,6,3,8,47,3
Edmonton,Jeannot Esua,90,0.05,0.09,0,6,5,85,4,1,2,5,1,7,35,1
Edmonton,Jeannot Esua,90,0.03,0.66,0,3,9,81,4,1,2,6,3,7,38,2
Edmonton,Jeannot Esua,89,0.0,0.0,0,1,3,79,2,0,2,3,0,13,38,0
Edmonton,Jeannot Esua,90,0.0,0.0,0,2,9,77,4,2,2,9,4,6,39,5
Edmonton,Jeannot Esua,90,0.12,0.0,0,11,3,72,4,1,2,4,1,9,31,2
Edmonton,Jeannot Esua,90,0.12,0.06,0,3,10,72,4,0,3,5,2,6,29,9
Edmonton,Jeannot Esua,90,0.0,0.0,0,5,6,71,4,1,1,4,1,6,31,4
Edmonton,Jeannot Esua,90,0.0,0.0,0,3,3,67,3,0,3,6,3,8,20,1
Edmonton,Jeannot Esua,90,0.0,0.03,0,6,9,64,2,1,1,5,2,7,21,4
Edmonton,Jeannot Esua,90,0.0,0.0,0,2,6,62,1,4,1,10,5,7,26,2
Edmonton,Jeannot Esua,90,0.0,0.29,0,1,3,62,0,1,2,4,1,6,25,2
Edmonton,Jeannot Esua,90,0.0,0.08,0,0,2,61,3,0,0,4,3,2,31,2
Edmonton,Jeannot Esua,90,0.0,0.08,0,5,2,61,6,0,0,1,0,6,25,1
Edmonton,Jeannot Esua,74,0.0,0.05,0,3,5,58,3,0,4,6,2,8,32,5
Edmonton,Jeannot Esua,90,0.0,0.42,0,6,1,56,2,1,2,8,4,5,16,2
Edmonton,Jeannot Esua,90,0.0,0.0,0,2,2,54,2,0,1,6,3,5,28,0
Edmonton,Jeannot Esua,89,0.03,0.0,0,1,10,50,6,1,3,5,1,2,21,6
Edmonton,Jeannot Esua,90,0.07,0.0,0,0,3,50,1,1,0,1,0,5,17,1
Edmonton,Jeannot Esua,90,0.05,0.05,0,1,7,47,4,1,1,3,0,4,18,4
Edmonton,Jeannot Esua,16,0.0,0.06,0,0,0,11,1,0,0,1,1,1,3,0
Pacific,Emile Legault,90,0.06,0.0,0,3,13,87,2,3,5,10,1,7,48,5
Pacific,Emile Legault,90,0.0,0.0,0,1,1,83,3,1,2,5,2,4,44,0
Pacific,Emile Legault,90,0.0,0.0,0,2,8,77,3,4,1,16,9,8,25,3
Pacific,Emile Legault,90,0.0,0.0,0,2,7,62,8,4,2,12,5,6,29,2
Pacific,Emile Legault,90,0.0,0.0,0,1,5,62,4,2,3,8,1,7,24,2
Pacific,Emile Legault,90,0.0,0.0,0,0,7,60,4,2,0,8,4,3,24,3
Pacific,Emile Legault,90,0.0,0.0,0,5,6,59,1,3,3,11,4,7,15,0
Pacific,Emile Legault,90,0.04,0.0,0,3,2,46,1,1,1,11,8,2,11,2
Pacific,Emile Legault,90,0.0,0.03,0,4,5,44,7,1,1,9,6,6,11,2
Pacific,Emile Legault,55,0.0,0.0,0,2,7,37,5,1,1,4,0,5,17,2
Pacific,Emile Legault,33,0.0,0.0,0,0,0,17,2,0,0,1,1,3,5,0
Pacific,Emile Legault,14,0.0,0.0,0,3,0,12,1,0,2,2,0,1,9,1
Pacific,Emile Legault,3,0.0,0.0,0,0,0,5,1,0,0,0,0,0,5,0
Pacific,Emile Legault,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific,Emile Legault,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific,Emile Legault,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific,Emile Legault,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific,Emile Legault,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific,Emile Legault,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific,Emile Legault,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific,Emile Legault,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific,Emile Legault,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific,Emile Legault,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific,Emile Legault,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
HFX Wanderers,André Bona,90,0.18,0.09,0,5,8,86,5,2,2,10,3,7,34,4
HFX Wanderers,André Bona,90,0.0,0.06,0,3,10,81,6,3,1,9,4,13,42,2
HFX Wanderers,André Bona,90,0.0,0.09,0,5,7,79,6,2,0,6,0,12,33,3
