team,name,Min,ExpG,ExpA,Goal,PenGoal,GoalDirFK,GoalHead,Ast,PsAtt,PsOnHfScs,PsOpHfScs,Touches,DuelLs,SucflDuels,TcklMade%
Valour,Diego Gutiérrez,90,0.0,0.14,0,0,0,0,0,54,11,35,72,6,4,33.3%
Valour,Diego Gutiérrez,90,0.0,0.0,0,0,0,0,0,55,27,17,72,3,4,100.0%
Valour,Diego Gutiérrez,90,0.12,0.12,0,0,0,0,0,47,12,22,71,4,9,100.0%
Valour,Diego Gutiérrez,90,0.0,0.06,0,0,0,0,0,45,26,13,64,7,6,0.0%
HFX Wanderers,Juan Diego Gutiérrez,90,0.0,0.0,0,0,0,0,0,36,11,22,63,10,5,33.3%
HFX Wanderers,Juan Diego Gutiérrez,90,0.52,0.2,1,0,0,1,0,29,5,16,61,11,8,42.9%
HFX Wanderers,Juan Diego Gutiérrez,90,0.0,0.08,0,0,0,0,0,28,6,12,59,8,11,100.0%
Valour,Diego Gutiérrez,68,0.0,0.04,0,0,0,0,0,43,14,20,57,8,3,25.0%
Valour,Diego Gutiérrez,90,0.15,0.08,0,0,0,0,0,34,17,10,55,6,8,50.0%
Valour,Diego Gutiérrez,64,0.0,0.0,0,0,0,0,0,37,21,13,54,2,3,66.7%
Valour,Diego Gutiérrez,47,0.0,0.0,0,0,0,0,0,41,19,16,54,4,8,83.3%
Valour,Diego Gutiérrez,74,0.55,0.06,0,0,0,0,0,34,15,14,53,3,8,100.0%
Valour,Diego Gutiérrez,90,0.03,0.03,0,0,0,0,0,40,17,14,52,3,6,50.0%
Valour,Diego Gutiérrez,68,0.0,0.28,0,0,0,0,1,36,14,10,51,0,4,100.0%
Valour,Diego Gutiérrez,90,0.0,0.11,0,0,0,0,0,28,9,9,49,3,4,100.0%
HFX Wanderers,Juan Diego Gutiérrez,90,0.03,0.0,0,0,0,0,0,25,10,14,44,7,3,0.0%
HFX Wanderers,Juan Diego Gutiérrez,84,0.08,0.11,0,0,0,0,0,23,6,10,44,4,9,100.0%
Valour,Diego Gutiérrez,71,0.07,0.0,0,0,0,0,0,35,9,19,43,0,3,100.0%
HFX Wanderers,Juan Diego Gutiérrez,90,0.24,0.03,0,0,0,0,0,31,8,18,41,8,3,66.7%
HFX Wanderers,Juan Diego Gutiérrez,90,0.06,0.17,0,0,0,0,0,19,3,7,40,5,7,66.7%
Valour,Diego Gutiérrez,71,0.0,0.21,0,0,0,0,0,24,8,7,39,4,5,0.0%
HFX Wanderers,Juan Diego Gutiérrez,84,0.09,0.05,1,0,0,0,0,20,5,9,38,5,5,0.0%
HFX Wanderers,Juan Diego Gutiérrez,90,0.0,0.0,0,0,0,0,0,14,3,6,37,14,6,40.0%
Valour,Diego Gutiérrez,36,0.0,0.0,0,0,0,0,0,23,9,10,35,3,5,50.0%
HFX Wanderers,Juan Diego Gutiérrez,72,0.0,0.0,0,0,0,0,0,16,5,7,34,3,6,100.0%
HFX Wanderers,Juan Diego Gutiérrez,76,0.02,0.0,0,0,0,0,0,16,3,7,34,4,2,33.3%
HFX Wanderers,Juan Diego Gutiérrez,63,0.0,0.0,0,0,0,0,0,23,7,12,32,4,3,50.0%
Valour,Diego Gutiérrez,44,0.0,0.0,0,0,0,0,0,26,7,13,30,0,1,100.0%
HFX Wanderers,Juan Diego Gutiérrez,68,0.0,0.0,0,0,0,0,0,17,4,11,28,8,3,0.0%
HFX Wanderers,Juan Diego Gutiérrez,59,0.0,0.0,0,0,0,0,0,19,6,11,23,3,3,50.0%
Valour,Diego Gutiérrez,28,0.04,0.03,0,0,0,0,0,16,4,10,22,2,1,50.0%
HFX Wanderers,Juan Diego Gutiérrez,27,0.0,0.34,0,0,0,0,0,13,2,7,20,1,5,-
