Rank,GM,playerId,optaPersonId,Min,Age,Position,firstName,lastName,player,team,teamId,optaTeamId,leagueId,league,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,xG,Goal,Shot,ShotExcBlk,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,season,seasonId,scatterId,scatterExtra
11,3,8xiikcvufow3u6jo0opzhtip5,243903,225,22,Left Centre Back,Robert,Boskovic,R. Boskovic,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),208,177,81.4%,50.0%,0,0,0.02,0.00,0,0,0,0,-,20.0%,56.5%,33.3%,14,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:8xiikcvufow3u6jo0opzhtip5,Canadian Premier League 2020 (Canada)
12,4,6rsihixcpnuyulgk4giwpzvth,228121,264,25,Right Back,Dominic,Samuel,D. Samuel,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),202,116,79.3%,76.0%,1,0,0.32,0.04,0,1,1,0,0.0%,0.0%,66.7%,50.0%,9,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:6rsihixcpnuyulgk4giwpzvth,Canadian Premier League 2020 (Canada)
13,3,ddyudctrqh7j4vqoofwg0oull,232384,270,20,Right Back,Malyk,Hamilton,M. Hamilton,Atlético Ottawa,dn8tjhuq0bax4dgixqvluhzze,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),199,121,84.3%,93.8%,2,1,0.18,0.00,0,0,0,0,-,37.5%,36.4%,-,19,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:ddyudctrqh7j4vqoofwg0oull,Canadian Premier League 2020 (Canada)
13,3,4c5w90f125c6det9gu0ljmgnp,481754,270,24,Right Centre Back,Peter,Schaale,P. Schaale,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),199,151,72.2%,0.0%,1,0,0.04,0.05,0,1,1,0,0.0%,57.1%,56.5%,62.5%,12,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:4c5w90f125c6det9gu0ljmgnp,Canadian Premier League 2020 (Canada)
15,3,3wyn5e0uz5jfilp065m3qynoq,501450,260,24,Central Midfielder,Aboubacar,Sissoko,A. Sissoko,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),198,151,84.8%,68.2%,0,0,0.09,0.03,0,1,1,0,0.0%,66.7%,52.3%,33.3%,21,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:3wyn5e0uz5jfilp065m3qynoq,Canadian Premier League 2020 (Canada)
16,3,7w93cfaszi89ex6xdf9tgkp9l,199141,270,25,Right Centre Back,Mélé,Temguia,M. Temguia,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),196,145,84.1%,75.0%,0,0,0.02,0.31,0,3,2,1,33.3%,60.0%,63.6%,71.4%,15,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:7w93cfaszi89ex6xdf9tgkp9l,Canadian Premier League 2020 (Canada)
17,4,8ad2vcq9xcul0kkfms8qo0wk5,183434,288,24,Central Midfielder,Alexander,Achinioti-Jönsson,A. Achinioti-Jönsson,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),192,162,88.9%,87.5%,0,0,0.05,0.08,0,1,1,1,100.0%,25.0%,70.8%,76.9%,16,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:8ad2vcq9xcul0kkfms8qo0wk5,Canadian Premier League 2020 (Canada)
17,3,9rwo2uejpeqqkmy6lgacm0ley,481367,270,25,Right Centre Back,Lukas,MacNaughton,L. MacNaughton,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),192,157,80.3%,50.0%,1,0,0.01,0.72,1,4,4,1,25.0%,50.0%,67.9%,66.7%,17,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:9rwo2uejpeqqkmy6lgacm0ley,Canadian Premier League 2020 (Canada)
19,4,bzfamx9nfvg0cwshyldxiea5l,229907,270,21,Central Midfielder,Paolo,Sabak,P. Sabak,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),189,141,80.9%,79.6%,3,0,0.34,1.00,1,5,5,2,40.0%,12.5%,53.8%,50.0%,11,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:bzfamx9nfvg0cwshyldxiea5l,Canadian Premier League 2020 (Canada)
20,3,6o11en42rzgf741oqqlu9a47p,159509,270,25,Left Centre Back,Luca,Gasparotto,L. Gasparotto,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),183,144,82.6%,66.7%,0,0,0.02,0.04,0,1,1,0,0.0%,66.7%,83.3%,90.9%,11,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:6o11en42rzgf741oqqlu9a47p,Canadian Premier League 2020 (Canada)
21,3,4ux10kolns6m5lgd64wumjfth,197038,243,24,Defensive Midfielder,Louis,Béland-Goyette,L. Béland-Goyette,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),179,138,76.8%,62.5%,2,0,0.11,0.03,0,1,0,0,0.0%,46.2%,39.5%,100.0%,23,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:4ux10kolns6m5lgd64wumjfth,Canadian Premier League 2020 (Canada)
