Rank,GM,playerId,optaPersonId,Min,Age,Position,firstName,lastName,player,team,teamId,optaTeamId,leagueId,league,week,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,xG,Goal,Shot,ShotExcBlk,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,game,date,gameId,oppOptaTeamId,scatterId,scatterExtra
22,1,8ad2vcq9xcul0kkfms8qo0wk5,183434,89,24,Central Midfielder,Alexander,Achinioti-Jönsson,A. Achinioti-Jönsson,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,77,69,92.8%,83.3%,0,0,0.03,0.00,0,0,0,0,-,33.3%,87.5%,80.0%,3,FOR vs EDM,2020-08-16,7t5b01x3jsqkkavibyn5aej2s,6925,8ad2vcq9xcul0kkfms8qo0wk5:2126225,FOR vs EDM (2020-08-16)
22,1,bxbh5i1uqhe22e2cft5x6fl2i,425644,90,21,Right Back,Chrisnovic,N'Sa,C. N'Sa,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,77,38,76.3%,90.0%,1,0,0.06,0.00,0,0,0,0,-,50.0%,41.2%,25.0%,2,CAV vs HFX,2020-08-24,7ttg3e5vjj75ni6bxtqwrww7o,15381,bxbh5i1uqhe22e2cft5x6fl2i:2126244,CAV vs HFX (2020-08-24)
24,1,b84lif9t7gwlw9ou9izawvumt,40345,90,33,Right Centre Back,David,Edgar,D. Edgar,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,76,68,79.4%,0.0%,1,0,0.07,0.00,0,0,0,0,-,-,100.0%,100.0%,5,HFX vs FOR,2020-08-20,7tg0hh0cm7hvex18ezv8bl4pg,15376,b84lif9t7gwlw9ou9izawvumt:2126238,HFX vs FOR (2020-08-20)
24,1,4ux10kolns6m5lgd64wumjfth,197038,90,24,Defensive Midfielder,Louis,Béland-Goyette,L. Béland-Goyette,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,76,62,72.6%,66.7%,0,0,0.07,0.00,0,0,0,0,-,60.0%,33.3%,-,8,CAV vs HFX,2020-08-24,7ttg3e5vjj75ni6bxtqwrww7o,15381,4ux10kolns6m5lgd64wumjfth:2126244,CAV vs HFX (2020-08-24)
26,1,c71o8hujd9joixq9ge68i4qg9,156664,90,24,Left Midfielder,Nathan,Mavila,N. Mavila,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,75,43,83.7%,100.0%,0,0,0.01,0.07,1,2,2,1,50.0%,100.0%,35.7%,66.7%,11,CAV vs HFX,2020-08-24,7ttg3e5vjj75ni6bxtqwrww7o,15376,c71o8hujd9joixq9ge68i4qg9:2126244,CAV vs HFX (2020-08-24)
27,1,7v7c25arh4yqd7tz8demrxa6t,231573,90,27,Left Back,Brett,Levis,B. Levis,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,74,46,89.1%,92.3%,1,1,0.12,0.04,0,1,1,1,100.0%,33.3%,61.5%,100.0%,6,ATO vs VAL,2020-08-19,7tdd1uok6zk7bgycge748czdg,16614,7v7c25arh4yqd7tz8demrxa6t:2126235,ATO vs VAL (2020-08-19)
27,1,7lqj7hx4na2kvl5doan797vmx,250776,90,25,Right Centre Back,Dominick,Zator,D. Zator,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,74,61,83.6%,100.0%,1,0,0.03,0.03,0,1,0,0,0.0%,66.7%,66.7%,33.3%,6,CAV vs HFX,2020-08-24,7ttg3e5vjj75ni6bxtqwrww7o,15376,7lqj7hx4na2kvl5doan797vmx:2126244,CAV vs HFX (2020-08-24)
27,1,d3uo72swkorck8mo41kv1yp61,423548,90,23,Left Centre Back,Daniel,Krutzen,D. Krutzen,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,74,59,59.3%,100.0%,1,0,0.02,0.00,0,0,0,0,-,75.0%,50.0%,33.3%,8,FOR vs CAV,2020-08-14,7st0tt53e4ksjueglfgouulg4,15381,d3uo72swkorck8mo41kv1yp61:2126218,FOR vs CAV (2020-08-14)
27,1,cfx0kdkw50a9417og40fqqled,160292,90,28,Right Centre Back,Roger,Thompson,R. Thompson,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,74,63,87.3%,0.0%,2,0,0.05,0.04,0,1,1,0,0.0%,100.0%,85.7%,100.0%,9,Y9 vs ATO,2020-08-15,7sxxjco5mob1kgt5i4e2mw00k,16614,cfx0kdkw50a9417og40fqqled:2126220,Y9 vs ATO (2020-08-15)
31,1,6o11en42rzgf741oqqlu9a47p,159509,90,25,Left Centre Back,Luca,Gasparotto,L. Gasparotto,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,73,58,81.0%,50.0%,0,0,0.00,0.00,0,0,0,0,-,100.0%,66.7%,100.0%,4,PAC vs Y9,2020-08-19,7tas4i6lxq9imfed8t0627m6s,15380,6o11en42rzgf741oqqlu9a47p:2126232,PAC vs Y9 (2020-08-19)
32,1,6mmfo5q4m9zdbpl1cgqv5muhh,164958,90,26,Centre Forward,Keven Steven,Alemán Bustos,K. Alemán,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,72,45,88.9%,100.0%,1,0,0.24,0.51,1,1,1,1,100.0%,66.7%,47.4%,0.0%,4,ATO vs EDM,2020-08-23,7tqr229an5mqpjp1qgvl7e0pg,16614,6mmfo5q4m9zdbpl1cgqv5muhh:2126243,ATO vs EDM (2020-08-23)
