team,name,position,tp,number,nationality,dob,image,flag,link,overall,display,p,al,gl,ol
Cavalry FC,Joel Waterman,m,5,15,Canada,1996-01-24,Joel-Waterman.jpg,Canada.png,https://en.wikipedia.org/wiki/Joel_Waterman,0.45,Joel Waterman,0,0,0,0
Cavalry FC,Elijah Adekugbe,m,8,16,Canada,1996-07-17,Elijah-Adekugbe.jpg,Canada.png,https://en.wikipedia.org/wiki/Elijah_Adekugbe,0.67,Elijah Adekugbe,0,0,0,0
Cavalry FC,Nico Pasquotti,f,7,17,Canada,1995-10-18,Nico-Pasquotti.jpg,Canada.png,https://en.wikipedia.org/wiki/Nico_Pasquotti,0.73,Nico Pasquotti,4,0,0,0
Cavalry FC,Mauro Eustaquio,m,8,18,Canada,1993-02-10,Mauro-Eustaquio.jpg,Canada.png,https://en.wikipedia.org/wiki/Mauro_Eustaquio,0.18,Mauro Eustaquio,0,0,0,1
Cavalry FC,Dominique Malonga,f,9,23,Congo,1989-01-08,Dominique-Malonga.jpg,Congo.png,https://en.wikipedia.org/wiki/Dominique_Malonga,0.64,Dominique Malonga,0,0,0,0
Cavalry FC,Carlos Patiño,m,8,20,Colombia,1995-08-18,Carlos-Patino.jpg,Colombia.png,https://en.wikipedia.org/wiki/Carlos_Patiño_(footballer),0.27,Carlos Patiño,0,0,0,0
Cavalry FC,Malyk Hamilton,f,2,21,Canada,1999-09-02,Malyk-Hamilton.jpg,Canada.png,https://en.wikipedia.org/wiki/Malyk_Hamilton,0.22,Malyk Hamilton,0,0,0,0
Cavalry FC,Nikolaos Giantsopoulos,g,1,22,Canada,1994-06-24,Niko-Giantsopoulos.jpg,Canada.png,https://en.wikipedia.org/wiki/Nikolas_Giantsopoulos,0.18,Niko Giantsopoulos,0,0,0,0
Cavalry FC,Victor Loturi,f,8,13,Canada,2001-05-21,Victor-Loturi.jpg,Canada.png,https://en.wikipedia.org/wiki/Victor_Loturi,0.02,Victor Loturi,0,0,0,0
Cavalry FC,Aribim Pepple,f,9,24,Canada,2002-12-25,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Aribim_Pepple,0.0,Aribim Pepple,0,0,0,0
Cavalry FC,Oluwatofarati Fakunle,f,10,25,Canada,1995-01-11,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Oluwatofarati_Fakunle,0.0,Oluwatofarati Fakunle,0,0,0,0
Cavalry FC,Gabriel Bitar,f,9,19,Canada,1998-08-23,Gabriel-Bitar.jpg,Canada.png,https://en.wikipedia.org/wiki/Gabriel_Bitar,0.03,Gabriel Bitar,0,0,0,0
FC Edmonton,Tony Tchani,m,8,22,Cameroon,1989-04-13,Tony-Tchani.jpg,Cameroon.png,https://en.wikipedia.org/wiki/Tony_Tchani,0.22,Tony Tchani,0,0,0,0
FC Edmonton,Connor James,g,1,1,Canada,1996-07-17,Connor-James.jpg,Canada.png,https://en.wikipedia.org/wiki/Connor_James,0.7,Connor James,0,0,0,0
FC Edmonton,Dylon Powley,g,1,13,Canada,1996-09-05,Dylon-Powley.jpg,Canada.png,https://en.wikipedia.org/wiki/Dylon_Powley,0.18,Dylon Powley,0,0,0,0
FC Edmonton,Amer Didic,d,4,55,Canada,1994-12-28,Amer-Didic.jpg,Canada.png,https://en.wikipedia.org/wiki/Amer_Didic,0.67,Amer Didic,0,0,0,0
FC Edmonton,Jeannot Esua,d,2,3,Cameroon,1996-08-08,Jeannot-Esua.jpg,Cameroon.png,https://en.wikipedia.org/wiki/Jeannot_Esua,0.52,Jeannot Esua,0,0,0,0
FC Edmonton,Kareem Moses,d,2,12,Trinidad and Tobago,1990-02-11,Kareem-Moses.jpg,TrinidadandTobago.png,https://en.wikipedia.org/wiki/Kareem_Moses,0.34,Kareem Moses,0,0,0,0
FC Edmonton,Ramon Soria,d,5,5,Spain,1989-03-07,Ramón-Soria.jpg,Spain.png,https://en.wikipedia.org/wiki/Ramón_Soria,0.62,Ramón Soria,0,0,0,0
FC Edmonton,Mélé Temguia,d,4,8,Germany,1995-08-01,Mélé-Temguia.jpg,Germany.png,https://en.wikipedia.org/wiki/Mélé_Temguia,0.96,Mélé Temguia,0,0,0,0
FC Edmonton,Allan Zebie,d,3,4,Canada,1993-05-29,Allan-Zebie.jpg,Canada.png,https://en.wikipedia.org/wiki/Allan_Zebie,0.6,Allan Zebie,0,0,0,0
FC Edmonton,Ajay Khabra,m,8,23,Canada,1995-06-13,Ajay-Khabra.jpg,Canada.png,https://en.wikipedia.org/wiki/Ajay_Khabra,0.35,Ajay Khabra,0,0,0,0
FC Edmonton,Philippe Lincourt-Joseph,m,10,10,Canada,1994-11-01,Philippe-Lincourt-Joseph.jpg,Canada.png,https://en.wikipedia.org/wiki/Philippe_Lincourt-Joseph,0.14,Philippe Lincourt-Joseph,0,0,0,0
FC Edmonton,James Marcelin,m,6,14,Haiti,1986-06-13,James-Marcelin.jpg,Haiti.png,https://en.wikipedia.org/wiki/James_Marcelin,0.45,James Marcelin,0,0,0,0
FC Edmonton,Edem Mortotsi,m,8,6,Ghana,1993-04-16,Edem-Mortotsi.jpg,Ghana.png,https://en.wikipedia.org/wiki/Edem_Mortotsi,0.29,Edem Mortotsi,0,0,0,0
FC Edmonton,Yong-Chan Son,m,8,7,South Korea,1991-04-15,Yong-Chan-Son.jpg,SouthKorea.png,https://en.wikipedia.org/wiki/Yong-Chan_Son,0.27,Yong-Chan Son,0,0,0,0
FC Edmonton,Bruno Zebie,m,11,20,Canada,1995-08-14,Bruno-Zebie.jpg,Canada.png,https://en.wikipedia.org/wiki/Bruno_Zebie,0.32,Bruno Zebie,0,0,0,0
FC Edmonton,Prince Amanda,f,7,16,Canada,2001-03-23,Prince-Amanda.jpg,Canada.png,https://en.wikipedia.org/wiki/Prince_Amanda,0.06,Prince Amanda,0,0,0,0
FC Edmonton,Tomi Ameobi,f,9,18,England,1988-08-16,Tomi-Ameobi.jpg,England.png,https://en.wikipedia.org/wiki/Tomi_Ameobi,0.4,Tomi Ameobi,0,0,0,0
FC Edmonton,Oumar Diouck,f,9,45,Belgium,1994-11-09,Oumar-Diouck.jpg,Belgium.png,https://en.wikipedia.org/wiki/Oumar_Diouck,0.6,Oumar Diouck,0,0,0,0
FC Edmonton,David Doe,f,9,26,Canada,2000-11-30,David-Doe.jpg,Canada.png,https://en.wikipedia.org/wiki/David_Doe,0.03,David Doe,0,0,0,0
FC Edmonton,Randy Edwini-Bonsu,f,9,11,Canada,1990-04-20,Randy-Edwini-Bonsu.jpg,Canada.png,https://en.wikipedia.org/wiki/Randy_Edwini-Bonsu,0.15,Randy Edwini-Bonsu,0,0,0,0
FC Edmonton,Ajeej Sarkaria,f,9,9,Canada,1995-07-02,Ajeej-Sarkaria.jpg,Canada.png,https://en.wikipedia.org/wiki/Ajeej_Sarkaria,0.12,Ajeej Sarkaria,0,0,0,0
FC Edmonton,Marcus Velado-Tsegaye,f,11,17,Canada,2001-07-02,Marcus-Velado.jpg,Canada.png,https://en.wikipedia.org/wiki/Marcus_Velado-Tsegaye,0.16,Marcus Velado-Tsegaye,0,0,0,0
FC Edmonton,Easton Ongaro,f,9,19,Canada,1998-06-05,Easton-Ongaro.jpg,Canada.png,https://en.wikipedia.org/wiki/Easton_Ongaro,0.52,Easton Ongaro,0,0,0,0
Forge FC,Jace Kotsopoulos,m,9,12,Canada,1997-12-01,Jace-Kotsopoulos.jpg,Canada.png,https://en.wikipedia.org/wiki/Jace_Kotsopoulos,0.1,Jace Kotsopoulos,0,0,0,0
Forge FC,Alexander Börje Achinioti-Jönsson,m,6,13,Sweden,1996-04-17,Alexander-Achinioti-Jönsson.jpg,Sweden.png,https://en.wikipedia.org/wiki/Alexander_Achinioti-Jönsson,0.5,Alexander Achinioti-Jönsson,0,0,0,0
Forge FC,Kwame Awuah,d,3,6,Canada,1995-12-02,Kwame-Awuah.jpg,Canada.png,https://en.wikipedia.org/wiki/Kwame_Awuah,0.9,Kwame Awuah,0,0,0,0
Forge FC,Kyle Edward Bekker,m,10,10,Canada,1990-09-02,Kyle-Bekker.jpg,Canada.png,https://en.wikipedia.org/wiki/Kyle_Bekker,0.77,Kyle Bekker,3,0,0,0
Forge FC,Tristan Daniel Borges,m,7,19,Canada,1998-08-26,Tristan-Borges.jpg,Canada.png,https://en.wikipedia.org/wiki/Tristan_Borges,0.9,Tristan Borges,0,1,1,0
Forge FC,David Choinière,m,11,7,Canada,1997-02-07,David-Choinière.jpg,Canada.png,https://en.wikipedia.org/wiki/David_Choinière,0.45,David Choinière,0,0,0,0
Forge FC,Elimane Oumar Cissé,m,6,3,Senegal,1995-03-12,Elimane-Cissé.jpg,Senegal.png,https://en.wikipedia.org/wiki/Elimane_Cissé,0.52,Elimane Cissé,0,0,0,0
Forge FC,Giuliano Frano,m,8,8,Canada,1993-05-16,Giuliano-Frano.jpg,Canada.png,https://en.wikipedia.org/wiki/Giuliano_Frano,0.48,Giuliano Frano,0,0,0,0
Forge FC,Jonathan Grant,d,2,2,Canada,1993-10-15,Jonathan-Grant.jpg,Canada.png,https://en.wikipedia.org/wiki/Jonathan_Grant,0.33,Jonathan Grant,0,0,0,0
Forge FC,Triston Henry,g,1,1,Canada,1993-09-08,Triston-Henry.jpg,Canada.png,https://en.wikipedia.org/wiki/Triston_Henry,0.71,Triston Henry,0,0,0,0
Forge FC,Daniel Krutzen,d,5,5,Belgium,1996-09-19,Daniel-Krutzen.jpg,Belgium.png,https://en.wikipedia.org/wiki/Daniel_Krutzen,0.71,Daniel Krutzen,0,0,0,0
Forge FC,Montther Mohsen,d,3,22,Canada,2000-06-13,Monti-Mohsen.jpg,Canada.png,https://en.wikipedia.org/wiki/Monti_Mohsen,0.12,Monti Mohsen,0,0,0,0
Forge FC,Christopher Lenroy Nanco,f,11,11,Canada,1995-02-15,Christopher-Nanco.jpg,Canada.png,https://en.wikipedia.org/wiki/Chris_Nanco,0.42,Chris Nanco,0,0,0,0
Forge FC,Bertrand Owundi,d,4,21,Cameroon,1993-10-15,Bertrand-Owundi.jpg,Cameroon.png,https://en.wikipedia.org/wiki/Bertrand_Owundi,0.48,Bertrand Owundi,0,0,0,0
Forge FC,Quillan Roberts,g,1,18,Canada,1994-09-13,Quillan-Roberts.jpg,Canada.png,https://en.wikipedia.org/wiki/Quillan_Roberts,0.29,Quillan Roberts,0,0,0,0
Forge FC,Dominic Samuel,d,2,4,Canada,1994-09-29,Dominic-Samuel.jpg,Canada.png,https://en.wikipedia.org/wiki/Dominic_Samuel,0.74,Dominic Samuel,0,0,0,0
Forge FC,Kadell Thomas,f,9,17,Canada,1996-11-26,Kadell-Thomas.jpg,Canada.png,https://en.wikipedia.org/wiki/Kadell_Thomas,0.21,Kadell Thomas,0,0,0,0
Forge FC,Emery Welshman,f,9,14,Guyana,1991-11-09,Emery-Welshman.jpg,Guyana.png,https://en.wikipedia.org/wiki/Emery_Welshman,0.33,Emery Welshman,0,0,0,0
Forge FC,Marcel Dominik Zajac,f,9,9,Canada,1998-04-29,Marcel-Zajac.jpg,Canada.png,https://en.wikipedia.org/wiki/Marcel_Zajac,0.35,Marcel Zajac,0,0,0,0
Forge FC,Anthony Joseph Novak,f,9,23,Canada,1994-03-27,Anthony-Novak.jpg,Canada.png,https://en.wikipedia.org/wiki/Anthony_Novak,0.48,Anthony Novak,0,0,0,0
Forge FC,Klaidi Cela,d,4,16,Canada,1999-07-16,Klaidi-Cela.jpg,Canada.png,https://en.wikipedia.org/wiki/Klaidi_Cela,0.15,Klaidi Cela,0,0,0,0
Forge FC,David Edward Edgar,d,4,30,Canada,1987-05-19,David-Edgar.jpg,Canada.png,https://en.wikipedia.org/wiki/David_Edgar,0.16,David Edgar,0,0,0,0
Forge FC,Justin Stoddart,m,8,20,Canada,1995-11-03,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Justin_Stoddart,0.06,Justin Stoddart,0,0,0,0
Forge FC,Oluwaseun Oyegunle,d,6,15,Canada,2002-11-03,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Oluwaseun_Oyegunle,0.01,Oluwaseun Oyegunle,0,0,0,0
HFX Wanderers FC,Duran Lee,d,4,16,Canada,1995-05-09,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Duran_Lee,0.28,Duran Lee,0,0,0,0
HFX Wanderers FC,Peter Schaale,d,4,2,Germany,1996-06-14,Peter-Schaale.jpg,Germany.png,https://en.wikipedia.org/wiki/Peter_Schaale,0.62,Peter Schaale,0,0,0,0
HFX Wanderers FC,André Bona,d,2,3,France,1990-01-19,André-Bona.jpg,France.png,https://en.wikipedia.org/wiki/André_Bona,0.93,André Bona,0,0,0,0
HFX Wanderers FC,Chakib Hocine,d,4,4,Algeria,1991-08-08,Chakib-Hocine.jpg,Algeria.png,https://en.wikipedia.org/wiki/Chakib_Hocine,0.08,Chakib Hocine,0,0,0,0
HFX Wanderers FC,Elton John,m,8,5,Trinidad and Tobago,1987-04-08,Elton-John.jpg,TrinidadandTobago.png,https://en.wikipedia.org/wiki/Elton_John_(footballer),0.35,Elton John,0,0,0,0
HFX Wanderers FC,Chrisnovic N'Sa,d,5,6,Canada,1999-01-28,Chrisnovic-Nsa.jpg,Canada.png,https://en.wikipedia.org/wiki/Chrisnovic_N'sa,0.41,Chris N'sa,0,0,0,0
HFX Wanderers FC,Juan Diego Gutiérrez de las Casas,m,11,7,Peru,1992-04-28,Juan-DiegoGutiérrez.jpg,Peru.png,https://en.wikipedia.org/wiki/Juan_Diego_Gutiérrez,0.32,Juan Diego Gutiérrez,0,0,0,0
HFX Wanderers FC,Elliot Simmons,m,8,8,Canada,1998-02-05,Elliot-Simmons.jpg,Canada.png,https://en.wikipedia.org/wiki/Elliot_Simmons,0.37,Elliot Simmons,0,0,0,0
HFX Wanderers FC,Kodai Iida,m,10,9,Japan,1994-12-06,Kodai-Iida.jpg,Japan.png,https://en.wikipedia.org/wiki/Kodai_Iida,0.52,Kodai Iida,0,0,0,0
HFX Wanderers FC,Luis Alberto Perea,f,9,10,Colombia,1986-03-09,Luis-AlbertoPerea.jpg,Colombia.png,https://en.wikipedia.org/wiki/Luis_Alberto_Perea,0.26,Luis Alberto Perea,0,0,0,0
HFX Wanderers FC,Akeem Garcia,m,9,11,Trinidad and Tobago,1996-11-09,Akeem-Garcia.jpg,TrinidadandTobago.png,https://en.wikipedia.org/wiki/Akeem_Garcia,0.47,Akeem Garcia,0,0,0,0
HFX Wanderers FC,Mohamed Kourouma,f,11,12,Canada,1990-08-04,Mohamed-Kourouma.jpg,Canada.png,https://en.wikipedia.org/wiki/Mohamed_Kourouma_(soccer),0.77,Mohamed Kourouma,0,0,0,0
HFX Wanderers FC,Kouamé Ouattara,m,8,13,Ivory Coast,1991-08-06,Kouamé-Ouattara.jpg,IvoryCoast.png,https://en.wikipedia.org/wiki/Kouamé_Ouattara,0.22,Kouamé Ouattara,0,0,0,0
HFX Wanderers FC,Vincent Lamy,f,9,14,Canada,1999-10-07,Vincent-Lamy.jpg,Canada.png,https://en.wikipedia.org/wiki/Vincent_Lamy,0.01,Vincent Lamy,0,0,0,0
HFX Wanderers FC,Scott Firth,m,8,15,Canada,2001-03-02,Scott-Firth.jpg,Canada.png,https://en.wikipedia.org/wiki/Scott_Firth,0.1,Scott Firth,0,0,0,0
HFX Wanderers FC,Tomasz Skublak,f,9,17,Canada,1997-12-08,Tomasz-Skublak.jpg,Canada.png,https://en.wikipedia.org/wiki/Tomasz_Skublak,0.28,Tomasz Skublak,0,0,0,0
HFX Wanderers FC,Andre Rampersad,m,6,18,Trinidad and Tobago,1995-02-02,Andre-Rampersad.jpg,TrinidadandTobago.png,https://en.wikipedia.org/wiki/Andre_Rampersad,0.57,Andre Rampersad,0,0,0,0
HFX Wanderers FC,Ndzemdzela Langwa,d,3,20,Canada,1998-05-03,Ndzemdzela-Langwa.jpg,Canada.png,https://en.wikipedia.org/wiki/Ndzemdzela_Langwa,0.77,Zoom Langwa,0,0,0,0
HFX Wanderers FC,Jan-Michael Williams,g,1,21,Trinidad and Tobago,1984-10-26,Jan-Michael-Williams.jpg,TrinidadandTobago.png,https://en.wikipedia.org/wiki/Jan-Michael_Williams,0.36,Jan-Michael Williams,0,0,0,0
HFX Wanderers FC,Abd-El-Aziz Yousef,f,7,22,Saudi Arabia,1999-10-05,Yousef-Abd-El-Aziz.jpg,Saudi Arabia.png,https://en.wikipedia.org/wiki/Abd-El-Aziz_Yousef,0.0,Abd-El-Aziz Yousef,0,0,0,0
HFX Wanderers FC,Alex De Carolis,d,3,24,Canada,1992-09-24,Alex-DeCarolis.jpg,Canada.png,https://en.wikipedia.org/wiki/Alex_De_Carolis,0.4,Alex De Carolis,0,0,0,0
HFX Wanderers FC,Zachary Sukunda,d,2,25,Canada,1995-06-24,Zachary-Sukunda.jpg,Canada.png,https://en.wikipedia.org/wiki/Zachary_Sukunda,0.18,Zachary Sukunda,0,0,0,0
HFX Wanderers FC,Christian Oxner,g,1,50,Canada,1996-07-29,Christian-Oxner.jpg,Canada.png,https://en.wikipedia.org/wiki/Christian_Oxner,0.54,Christian Oxner,0,0,0,0
HFX Wanderers FC,Matthew Arnone,d,4,23,Canada,1994-02-28,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Matthew_Arnone,0.67,Matthew Arnone,0,0,0,0
Pacific FC,Alexander Gonzalez Moreno,m,6,28,Panama,1994-12-14,empty.jpg,Panama.png,https://en.wikipedia.org/wiki/Alexander_González_(footballer),0.57,Alexander González,0,0,0,0
Pacific FC,Mark Village,g,1,26,Canada,1991-11-25,Mark-Village.jpg,Canada.png,https://en.wikipedia.org/wiki/Mark_Village,0.54,Mark Village,0,0,0,0
Pacific FC,Nolan Wirth,g,1,1,Canada,1995-01-24,Nolan-Wirth.jpg,Canada.png,https://en.wikipedia.org/wiki/Nolan_Wirth,0.45,Nolan Wirth,0,0,0,0
Pacific FC,Kadin Chung,d,2,7,Canada,1998-09-05,Kadin-Chung.jpg,Canada.png,https://en.wikipedia.org/wiki/Kadin_Chung,0.79,Kadin Chung,0,0,0,0
Pacific FC,Marcel de Jong,d,3,17,Canada,1986-10-15,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Marcel_de_Jong,0.02,Marcel de Jong,0,0,0,0
Pacific FC,Lukas MacNaughton,d,4,6,United States,1995-03-08,Lukas-MacNaughton.jpg,Canada.png,https://en.wikipedia.org/wiki/Lukas_MacNaughton,0.5,Lukas MacNaughton,0,0,0,0
Pacific FC,Hendrik Starostzik,d,5,5,Germany,1991-03-28,Hendrik-Starostzik.jpg,Germany.png,https://en.wikipedia.org/wiki/Hendrik_Starostzik,0.36,Hendrik Starostzik,0,0,0,0
Pacific FC,Matthew Baldisimo,m,6,8,Canada,1998-01-20,Matthew-Baldisimo.jpg,Canada.png,https://en.wikipedia.org/wiki/Matthew_Baldisimo,0.51,Matthew Baldisimo,0,0,0,0
Pacific FC,Victor Blasco,m,7,23,Spain,1994-07-01,Victor-Blasco.jpg,Spain.png,https://en.wikipedia.org/wiki/Victor_Blasco,0.72,Victor Blasco,0,0,0,0
Pacific FC,Ben Fisk,m,7,10,Canada,1993-02-04,Ben-Fisk.jpg,Canada.png,https://en.wikipedia.org/wiki/Ben_Fisk,0.69,Ben Fisk,0,0,0,0
Pacific FC,Noah Verhoeven,m,8,19,Canada,1999-06-15,Noah-Verhoeven.jpg,Canada.png,https://en.wikipedia.org/wiki/Noah_Verhoeven,0.49,Noah Verhoeven,0,0,0,0
Pacific FC,Terran Campbell,f,9,14,Canada,1998-10-10,Terran-Campbell.jpg,Canada.png,https://en.wikipedia.org/wiki/Terran_Campbell,0.8,Terran Campbell,0,0,0,0
Pacific FC,Marcus Haber,f,9,9,Canada,1989-01-11,Marcus-Haber.jpg,Canada.png,https://en.wikipedia.org/wiki/Marcus_Haber,0.17,Marcus Haber,0,0,0,0
Pacific FC,José Hernández,f,9,15,Canada,2000-03-19,Jose-Hernandez.jpg,Canada.png,https://en.wikipedia.org/wiki/Jose_Hernandez,0.26,Jose Hernandez,0,0,0,0
Pacific FC,Alessandro Hojabrpour,f,11,21,Canada,2000-01-10,Alessandro-Hojabrpour.jpg,Canada.png,https://en.wikipedia.org/wiki/Alessandro_Hojabrpour,0.27,Alessandro Hojabrpour,0,0,0,0
Pacific FC,Issey Nakajima-Farran,f,7,11,Canada,1984-05-16,Issey-Nakajima-Farran.jpg,Canada.png,https://en.wikipedia.org/wiki/Issey_Nakajima-Farran,0.09,Issey Nakajima-Farran,0,0,0,0
Pacific FC,Blake Smith,d,3,4,USA,1991-01-17,Blake-Smith.jpg,USA.png,https://en.wikipedia.org/wiki/Blake_Smith,0.69,Blake Smith,0,0,0,0
Pacific FC,Ryan McCurdy,d,4,3,Canada,1991-05-23,Ryan-McCurdy.jpg,Canada.png,https://en.wikipedia.org/wiki/Ryan_McCurdy,0.23,Ryan McCurdy,0,0,0,0
Pacific FC,Ahmed Alghamdi,m,8,13,Canada,2001-09-20,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Ahmed_Al-Ghamdi_(footballer),0.26,Ahmed Alghamdi,0,0,0,0
Pacific FC,Émile Legault,d,4,20,Canada,2000-04-10,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Émile_Legault,0.39,Emile Legault,0,0,0,0
Pacific FC,Zachary Verhoven,m,7,16,Canada,1998-08-17,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Zachary_Verhoven,0.43,Zach Verhoven,0,0,0,0
Pacific FC,David Norman Jr.,m,8,24,Canada,1998-05-31,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/David_Norman_Jr.,0.18,David Norman Jr.,0,0,0,0
Valour FC,Yohan Le Bourhis,d,4,25,Canada,2000-03-09,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Yohan_Le_Bourhis,0.21,Yohan Le Bourhis,0,0,0,0
Valour FC,Adam Mitter,d,4,15,England,1993-01-05,Adam-Mitter.jpg,England.png,https://en.wikipedia.org/wiki/Adam_Mitter,0.41,Adam Mitter,0,0,0,0
Valour FC,Tyson Farago,g,1,1,Canada,1991-05-01,Tyson-Farago.jpg,Canada.png,https://en.wikipedia.org/wiki/Tyson_Farago,0.55,Tyson Farago,0,0,0,0
Valour FC,Raphaël Garcia,d,2,2,Canada,1999-05-06,Raphaël-Garcia.jpg,Canada.png,https://en.wikipedia.org/wiki/Raphaël_Garcia,0.45,Raphaël Garcia,0,0,0,0
Valour FC,Skylar Rutherford Thomas,d,4,3,Canada,1993-07-27,Skylar-Thomas.jpg,Canada.png,https://en.wikipedia.org/wiki/Skylar_Thomas,0.73,Skylar Thomas,0,0,0,0
Valour FC,Jordan Peter Murrell,d,4,4,Canada,1993-05-02,Jordan-Murrell.jpg,Canada.png,https://en.wikipedia.org/wiki/Jordan_Murrell,0.6,Jordan Murrell,0,0,0,0
Valour FC,Martín Arguiñarena,d,3,6,Uruguay,1991-09-06,Martín-Arguiñarena.jpg,Uruguay.png,https://en.wikipedia.org/wiki/Martín_Arguiñarena,0.71,Martín Arguiñarena,0,0,0,0
Valour FC,Dylan Sacramento,m,8,7,Canada,1995-03-04,Dylan-Sacramento.jpg,Canada.png,https://en.wikipedia.org/wiki/Dylan_Sacramento,0.33,Dylan Sacramento,0,0,0,0
Valour FC,Dylan Carreiro,m,8,10,Canada,1995-01-20,Dylan-Carreiro.jpg,Canada.png,https://en.wikipedia.org/wiki/Dylan_Carreiro,0.33,Dylan Carreiro,0,0,0,0
Valour FC,Glenn Muenkat,m,11,11,Canada,1999-01-03,Glenn-Muenkat.jpg,Canada.png,https://en.wikipedia.org/wiki/Glenn_Muenkat,0.13,Glenn Muenkat,0,0,0,0
Valour FC,Nicolás Galvis,m,8,14,Canada,1997-04-09,Nicolás-Galvis.jpg,Canada.png,https://en.wikipedia.org/wiki/Nicolás_Galvis,0.16,Nicolás Galvis,0,0,0,0
Valour FC,Néstor Navia,m,8,15,Colombia,1997-06-17,empty.jpg,Colombia.png,https://en.wikipedia.org/wiki/Néstor_Navia,0.0,Néstor Navia,0,0,0,0
Valour FC,Tyler Attardo,f,9,16,Canada,2001-09-10,Tyler-Attardo.jpg,Canada.png,https://en.wikipedia.org/wiki/Tyler_Attardo,0.25,Tyler Attardo,0,0,0,0
Valour FC,Stephen Hoyle,f,9,17,England,1992-11-06,Stephen-Hoyle.jpg,England.png,https://en.wikipedia.org/wiki/Stephen_Hoyle,0.06,Stephen Hoyle,0,0,0,0
Valour FC,Josip Golubar,m,8,20,Croatia,1985-03-04,Josip-Golubar.jpg,Croatia.png,https://en.wikipedia.org/wiki/Josip_Golubar,0.1,Josip Golubar,0,0,0,0
Valour FC,Mathias Janssens,g,1,26,Belgium,1998-03-09,Mathias-Janssens.jpg,Belgium.png,https://en.wikipedia.org/wiki/Mathias_Janssens,0.38,Mathias Janssens,0,0,0,0
Valour FC,Raphael Ohin,m,8,27,Ghana,1995-05-25,Raphael-Ohin.jpg,Ghana.png,https://en.wikipedia.org/wiki/Raphael_Ohin,0.35,Raphael Ohin,0,0,0,0
