game,02 Nov 2019 - Play Offs , , ,1 ,X ,2 ,B's ,hw,,aw,,,home_team,away_team
I87,19:30,Valour - Edmonton,3:1,2.54,3.33,2.58,6,0.39,0.30,0.39,W,L,Valour FC,FC Edmonton
I88,22:00,Cavalry - HFX Wanderers,2:0,1.54,4.05,5.39,6,0.65,0.25,0.19,W,L,Cavalry FC,HFX Wanderers FC
I89,19:30,Forge - York 9,1:0,1.71,3.72,4.29,7,0.58,0.27,0.23,W,L,Forge FC,York9 FC
I90,22:00,HFX Wanderers - Pacific FC,1:1,2.4,3.07,2.95,6,0.42,0.33,0.34,D,D,HFX Wanderers FC,Pacific FC
I91,01:00,Cavalry - Forge,2:1,1.96,3.28,3.74,6,0.51,0.30,0.27,W,L,Cavalry FC,Forge FC
I92,19:30,York 9 - Forge,4:0,3.13,3.64,2.06,6,0.32,0.27,0.49,W,L,York9 FC,Forge FC
I93,23:00,Forge - Cavalry,1:0,2.56,3.11,2.6,5,0.39,0.32,0.38,W,L,Forge FC,Cavalry FC
I94,00:00,Valour - York 9,0:4,2.49,3.32,2.59,6,0.40,0.30,0.39,L,W,Valour FC,York9 FC
I95,01:00,Edmonton - Pacific FC,3:1,2.33,2.96,3.23,6,0.43,0.34,0.31,W,L,FC Edmonton,Pacific FC
I96,17:30,York 9 - HFX Wanderers,0:2,1.69,3.48,4.76,6,0.59,0.29,0.21,L,W,York9 FC,HFX Wanderers FC
I97,20:00,Cavalry - Edmonton,3:1,1.31,4.83,8.7,6,0.76,0.21,0.11,W,L,Cavalry FC,FC Edmonton
I98,22:30,Pacific FC - Valour,2:0,2.13,3.57,3.01,6,0.47,0.28,0.33,W,L,Pacific FC,Valour FC
I99,20:00,Forge - Cavalry,1:0,2.02,3.38,3.2,6,0.50,0.30,0.31,W,L,Forge FC,Cavalry FC
I100,20:00,Cavalry - Forge,0:1,1.92,3.37,3.82,6,0.52,0.30,0.26,L,W,Cavalry FC,Forge FC
