team,name,number,position,first,last,minutes,touches,passes,pass-acc,crosses,cross-acc,assists,chances,goals,shots,s-target,s-box,s-out-box,tackles,t-won,duels,d-won,clearances,interceptions,yellow,red,f-won,f-conceded,shots faced,saves,claimed crosses,cs
FC Edmonton,Dylon Powley,13,g,Dylon,Powley,540.0,270.0,217.0,0.49,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,29.0,20.0,2.0,1.0
FC Edmonton,Easton Ongaro,19,f,Easton,Ongaro,1167.0,476.0,249.0,1.0,6.0,0.0,2.0,11.0,10.0,38.0,20.0,30.0,8.0,5.0,2.0,188.0,69.0,6.0,1.0,1.0,0.0,12.0,11.0,0.0,0.0,0.0,0.0
FC Edmonton,Edem Mortotsi,6,m,Edem,Mortotsi,881.0,654.0,459.0,0.67,23.0,0.0,2.0,12.0,0.0,22.0,8.0,7.0,15.0,24.0,12.0,122.0,64.0,3.0,9.0,1.0,0.0,16.0,15.0,0.0,0.0,0.0,0.0
FC Edmonton,James Marcelin,14,m,James,Marcelin,1699.0,1108.0,873.0,0.89,7.0,0.0,0.0,7.0,0.0,7.0,2.0,2.0,5.0,25.0,18.0,169.0,91.0,50.0,27.0,2.0,0.0,18.0,24.0,0.0,0.0,0.0,0.0
FC Edmonton,Jeannot Esua,3,d,Jeannot,Esua,1799.0,1327.0,760.0,0.64,93.0,0.0,2.0,15.0,0.0,7.0,1.0,4.0,3.0,23.0,18.0,174.0,108.0,40.0,33.0,2.0,1.0,20.0,20.0,0.0,0.0,0.0,0.0
FC Edmonton,Kareem Moses,12,d,Kareem,Moses,970.0,578.0,374.0,0.75,15.0,0.0,0.0,4.0,0.0,12.0,1.0,9.0,3.0,24.0,15.0,109.0,80.0,26.0,14.0,2.0,0.0,20.0,12.0,0.0,0.0,0.0,0.0
FC Edmonton,Marcus Velado-Tsegaye,17,f,Marcus,Velado-Tsegaye,487.0,273.0,140.0,1.0,7.0,1.0,1.0,4.0,1.0,16.0,6.0,7.0,9.0,8.0,4.0,77.0,29.0,1.0,4.0,1.0,0.0,14.0,12.0,0.0,0.0,0.0,0.0
FC Edmonton,Mélé Temguia,8,d,Mélé,Temguia,2430.0,1680.0,1297.0,0.67,1.0,0.0,0.0,4.0,2.0,12.0,5.0,12.0,0.0,61.0,41.0,244.0,140.0,82.0,51.0,3.0,0.0,29.0,40.0,0.0,0.0,0.0,0.0
FC Edmonton,Oumar Diouck,45,f,Oumar,Diouck,1977.0,983.0,583.0,0.82,53.0,0.0,2.0,30.0,6.0,45.0,16.0,26.0,19.0,36.0,21.0,269.0,113.0,6.0,5.0,6.0,0.0,45.0,62.0,0.0,0.0,0.0,0.0
FC Edmonton,Philippe Lincourt-Joseph,10,m,Philippe,Lincourt-Joseph,346.0,211.0,141.0,0.82,3.0,0.0,0.0,3.0,0.0,4.0,1.0,0.0,4.0,12.0,6.0,51.0,28.0,4.0,3.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0
FC Edmonton,Prince Amanda,16,f,Prince,Amanda,137.0,54.0,30.0,0.6,4.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,17.0,9.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
FC Edmonton,Ramón Soria,5,d,Ramón,Soria,2011.0,1390.0,1081.0,0.71,83.0,0.25,3.0,29.0,1.0,12.0,4.0,4.0,8.0,38.0,24.0,145.0,79.0,26.0,32.0,3.0,0.0,10.0,18.0,0.0,0.0,0.0,0.0
FC Edmonton,Randy Edwini-Bonsu,11,f,Randy,Edwini-Bonsu,363.0,182.0,82.0,0.5,22.0,0.0,1.0,10.0,0.0,9.0,6.0,3.0,6.0,7.0,5.0,59.0,26.0,0.0,3.0,1.0,0.0,13.0,9.0,0.0,0.0,0.0,0.0
FC Edmonton,Tomi Ameobi,18,f,Tomi,Ameobi,1860.0,776.0,502.0,0.64,4.0,0.0,0.0,22.0,4.0,23.0,10.0,15.0,8.0,26.0,15.0,309.0,135.0,14.0,7.0,4.0,0.0,30.0,49.0,0.0,0.0,0.0,0.0
FC Edmonton,Tony Tchani,22,m,Tony,Tchani,192.0,185.0,142.0,0.91,2.0,0.0,0.0,1.0,0.0,6.0,2.0,2.0,4.0,3.0,2.0,39.0,23.0,4.0,3.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0
FC Edmonton,Yong-Chan Son,7,m,Yong-Chan,Son,952.0,554.0,310.0,0.74,30.0,0.0,1.0,16.0,0.0,2.0,1.0,1.0,1.0,29.0,21.0,103.0,48.0,3.0,8.0,1.0,0.0,12.0,16.0,0.0,0.0,0.0,0.0
Forge FC,Alexander Achinioti-Jönsson,1,m,Alexander,Achinioti-Jönsson,1671.0,1055.0,822.0,0.85,0.0,0.0,2.0,6.0,0.0,5.0,1.0,2.0,3.0,42.0,29.0,191.0,120.0,31.0,41.0,0.0,0.0,32.0,27.0,0.0,0.0,0.0,0.0
Forge FC,Anthony Novak,23,f,Anthony,Novak,1027.0,430.0,235.0,0.44,3.0,0.0,3.0,14.0,6.0,24.0,13.0,19.0,5.0,10.0,7.0,169.0,53.0,8.0,1.0,3.0,0.0,16.0,9.0,0.0,0.0,0.0,0.0
Forge FC,Bertrand Owundi,16,d,Bertrand,Owundi,1757.0,1267.0,1054.0,0.88,2.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,19.0,13.0,132.0,72.0,91.0,24.0,4.0,0.0,12.0,17.0,0.0,0.0,0.0,0.0
Forge FC,Christopher Nanco,13,f,Christopher,Nanco,1429.0,747.0,380.0,0.67,22.0,0.0,2.0,21.0,4.0,29.0,12.0,19.0,10.0,19.0,7.0,208.0,67.0,6.0,12.0,1.0,0.0,17.0,25.0,0.0,0.0,0.0,0.0
Forge FC,Daniel Krutzen,10,d,Daniel,Krutzen,2381.0,1985.0,1536.0,0.8,30.0,0.0,2.0,18.0,1.0,12.0,5.0,5.0,7.0,48.0,24.0,186.0,110.0,85.0,42.0,0.0,0.0,12.0,21.0,0.0,0.0,0.0,0.0
Forge FC,David Choinière,5,m,David,Choinière,975.0,583.0,359.0,0.91,15.0,0.5,2.0,10.0,1.0,19.0,7.0,14.0,5.0,23.0,13.0,147.0,62.0,1.0,3.0,0.0,0.0,27.0,12.0,0.0,0.0,0.0,0.0
Forge FC,David Edgar,30,d,David,Edgar,744.0,548.0,473.0,1.0,2.0,0.0,0.0,0.0,1.0,6.0,2.0,5.0,1.0,9.0,3.0,37.0,21.0,26.0,8.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0
Forge FC,Dominic Samuel,22,d,Dominic,Samuel,2044.0,1364.0,900.0,0.85,15.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,2.0,38.0,26.0,206.0,116.0,74.0,30.0,5.0,1.0,36.0,38.0,0.0,0.0,0.0,0.0
Forge FC,Elimane Cissé,6,m,Elimane,Cissé,1701.0,1078.0,768.0,0.85,5.0,0.0,1.0,11.0,2.0,21.0,9.0,15.0,6.0,48.0,30.0,231.0,103.0,14.0,32.0,0.0,0.0,18.0,27.0,0.0,0.0,0.0,0.0
Forge FC,Emery Welshman,14,f,Emery,Welshman,932.0,498.0,272.0,0.62,8.0,0.5,2.0,15.0,3.0,30.0,9.0,27.0,3.0,17.0,10.0,147.0,59.0,6.0,3.0,1.0,0.0,13.0,14.0,0.0,0.0,0.0,0.0
Forge FC,Giuliano Frano,7,m,Giuliano,Frano,1960.0,1615.0,1141.0,0.81,12.0,0.0,0.0,12.0,1.0,13.0,2.0,7.0,6.0,61.0,40.0,236.0,129.0,34.0,41.0,6.0,0.0,13.0,35.0,0.0,0.0,0.0,0.0
Forge FC,Jace Kotsopoulos,12,m,Jace,Kotsopoulos,138.0,52.0,28.0,0.83,0.0,0.0,0.0,1.0,2.0,7.0,5.0,6.0,1.0,1.0,0.0,11.0,5.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
Forge FC,Jonathan Grant,8,d,Jonathan,Grant,822.0,615.0,352.0,0.6,22.0,0.0,1.0,7.0,1.0,8.0,2.0,8.0,0.0,30.0,22.0,120.0,55.0,15.0,13.0,2.0,0.0,6.0,13.0,0.0,0.0,0.0,0.0
Forge FC,Justin Stoddart,20,m,Justin,Stoddart,14.0,10.0,6.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forge FC,Kadell Thomas,30,f,Kadell,Thomas,542.0,358.0,183.0,0.9,14.0,0.0,1.0,4.0,3.0,12.0,7.0,5.0,7.0,17.0,12.0,111.0,45.0,2.0,3.0,4.0,0.0,11.0,12.0,0.0,0.0,0.0,0.0
Forge FC,Klaidi Cela,16,d,Klaidi,Cela,326.0,241.0,111.0,1.0,9.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,14.0,6.0,55.0,34.0,18.0,5.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0
Forge FC,Kwame Awuah,2,d,Kwame,Awuah,1885.0,1597.0,1024.0,0.9,36.0,0.0,5.0,29.0,0.0,5.0,1.0,1.0,4.0,57.0,40.0,258.0,124.0,17.0,39.0,4.0,0.0,22.0,28.0,0.0,0.0,0.0,0.0
Forge FC,Kyle Bekker,3,m,Kyle,Bekker,2354.0,1748.0,1362.0,0.82,98.0,0.25,5.0,44.0,4.0,63.0,18.0,20.0,43.0,23.0,15.0,173.0,60.0,19.0,18.0,2.0,0.0,11.0,29.0,0.0,0.0,0.0,0.0
Forge FC,Marcel Zajac,9,f,Marcel,Zajac,1073.0,495.0,289.0,0.71,6.0,0.0,3.0,13.0,1.0,30.0,11.0,21.0,9.0,13.0,10.0,152.0,61.0,4.0,4.0,3.0,0.0,23.0,15.0,0.0,0.0,0.0,0.0
Forge FC,Monti Mohsen,11,d,Monti,Mohsen,363.0,243.0,111.0,1.0,12.0,0.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,9.0,5.0,62.0,26.0,6.0,5.0,2.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0
Forge FC,Oluwaseun Oyegunle,15,d,Oluwaseun,Oyegunle,38.0,22.0,7.0,0.57,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Forge FC,Quillan Roberts,17,g,Quillan,Roberts,720.0,297.0,210.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,2.0,0.0,0.0,0.0,2.0,0.0,36.0,27.0,2.0,4.0
Forge FC,Tristan Borges,4,m,Tristan,Borges,1884.0,1307.0,680.0,0.74,77.0,0.0,5.0,42.0,13.0,56.0,37.0,38.0,18.0,59.0,39.0,356.0,176.0,0.0,22.0,2.0,1.0,48.0,37.0,0.0,0.0,0.0,0.0
Forge FC,Triston Henry,9,g,Triston,Henry,1890.0,789.0,587.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,14.0,22.0,0.0,2.0,0.0,8.0,1.0,70.0,53.0,12.0,8.0
HFX Wanderers FC,Akeem Garcia,11,m,Akeem,Garcia,2082.0,764.0,399.0,0.64,19.0,0.0,0.0,15.0,7.0,39.0,23.0,33.0,6.0,23.0,16.0,251.0,106.0,5.0,2.0,2.0,0.0,44.0,35.0,0.0,0.0,0.0,0.0
HFX Wanderers FC,Alex De Carolis,24,d,Alex,De Carolis,1246.0,827.0,467.0,0.86,20.0,0.0,0.0,11.0,0.0,11.0,4.0,3.0,8.0,34.0,21.0,133.0,62.0,34.0,14.0,3.0,0.0,7.0,14.0,0.0,0.0,0.0,0.0
HFX Wanderers FC,Andre Rampersad,18,m,Andre,Rampersad,2003.0,1275.0,921.0,0.96,3.0,0.0,1.0,20.0,1.0,16.0,6.0,10.0,6.0,51.0,36.0,231.0,132.0,40.0,35.0,4.0,0.0,23.0,31.0,0.0,0.0,0.0,0.0
HFX Wanderers FC,André Bona,3,d,André,Bona,2053.0,1510.0,831.0,0.8,37.0,0.0,0.0,15.0,0.0,18.0,3.0,17.0,1.0,66.0,50.0,257.0,150.0,76.0,32.0,6.0,0.0,13.0,31.0,0.0,0.0,0.0,0.0
HFX Wanderers FC,Chakib Hocine,4,d,Chakib,Hocine,352.0,161.0,127.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,18.0,9.0,12.0,8.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0
HFX Wanderers FC,Chrisnovic N'sa,6,d,Chrisnovic,N'sa,1217.0,744.0,491.0,0.85,5.0,0.0,0.0,2.0,0.0,7.0,1.0,3.0,4.0,25.0,17.0,114.0,71.0,44.0,25.0,5.0,0.0,15.0,17.0,0.0,0.0,0.0,0.0
HFX Wanderers FC,Christian Oxner,50,g,Christian,Oxner,1489.0,595.0,397.0,0.65,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,22.0,1.0,2.0,0.0,2.0,2.0,56.0,41.0,10.0,5.0
