team,name,Min,Red,2ndYellow,Yellow,Fls,display,short
Cavalry FC,Marcus Haber,507,0,0,1,17,Marcus Haber,cav
York9 FC,Kyle Porter,372,0,0,0,4,Kyle Porter,y9
FC Edmonton,Connor James,540,0,0,0,0,Connor James,fce
York9 FC,Nathan Ingham,540,0,0,0,0,Nathan Ingham,y9
Cavalry FC,Oliver Minatel,454,0,0,0,10,Oliver Minatel,cav
Valour FC,Dylan Carreiro,333,0,0,1,0,Dylan Carreiro,val
Valour FC,Mastanabal Kacher,360,0,0,1,2,Masta Kacher,val
Valour FC,Dante Campbell,227,0,0,1,4,Dante Campbell,val
FC Edmonton,Amer Didic,241,0,0,0,1,Amer Didic,fce
Pacific FC,Nolan Wirth,360,0,0,0,1,Nolan Wirth,pac
FC Edmonton,Easton Ongaro,480,0,0,0,4,Easton Ongaro,fce
Atlético Ottawa,Jarred Phillips,290,0,0,0,2,Jarred Phillips,ato
FC Edmonton,Yong-Chan Son,303,0,0,0,8,Yong-Chan Son,fce
Forge FC,Jordan Dunstan,254,0,0,0,7,Jordan Dunstan,for
Forge FC,Anthony Joseph Novak,381,0,0,0,4,Anthony Novak,for
Atlético Ottawa,Ajay Khabra,308,0,0,1,12,Ajay Khabra,ato
York9 FC,Ijah Halley,157,0,0,0,5,Ijah Halley,y9
Forge FC,Daniel Krutzen,961,0,0,2,14,Daniel Krutzen,for
Pacific FC,Abdoulaye Samake,89,0,0,0,2,Abdou Samake,pac
Cavalry FC,Oluwatofarati Fakunle,7,0,0,0,0,Tofa Fakunle,cav
Atlético Ottawa,Antoine Coupland,97,0,0,1,4,Antoine Coupland,ato
York9 FC,Gabriel Monteiro Vasconcelos,87,0,0,0,1,Gabriel Vasconcelos,y9
FC Edmonton,David Doe,54,0,0,0,2,David Doe,fce
York9 FC,Ezequiel Carrasco,90,0,0,0,0,Ezequiel Carrasco,y9
Atlético Ottawa,Maksym Kowal,51,0,0,0,1,Maksym Kowal,ato
Valour FC,Raphaël Garcia,26,0,0,0,0,Raphaël Garcia,val
York9 FC,Isaiah Johnston,18,0,0,0,1,Isaiah Johnston,y9
York9 FC,Jace Kotsopoulos,28,0,0,0,0,Jace Kotsopoulos,y9
Atlético Ottawa,Michel Djaozandry,6,0,0,0,0,Michel Djaozandry,ato
Cavalry FC,Nikolaos Giantsopoulos,90,0,0,0,0,Niko Giantsopoulos,cav
Forge FC,Klaidi Cela,3,0,0,1,1,Klaidi Cela,for
HFX Wanderers FC,Jan-Michael Williams,0,0,0,0,0,Jan-Michael Williams,hfx
Pacific FC,Mark Village,0,0,0,0,0,Mark Village,pac
Atlético Ottawa,Matteo de Brienne,0,0,0,0,0,Matteo  de Brienne,ato
York9 FC,Julian Altobelli,0,0,0,0,0,Julian Altobelli,y9
Valour FC,Matthew Silva,0,0,0,0,0,Matthew Silva,val
Atlético Ottawa,Horace Patient Sobze Zemo,0,0,0,0,0,Horace Patient Sobze Zemo,ato
Atlético Ottawa,Richard Soares Gomes,0,0,0,0,0,Richard Soares Gomes,ato
Valour FC,Chakib Hocine,66,0,0,0,3,Chakib Hocine,val
York9 FC,Matthew Arnone,62,0,0,0,1,Matthew Arnone,y9
HFX Wanderers FC,Scott Firth,98,0,0,0,0,Scott Firth,hfx
HFX Wanderers FC,Luke Green,90,0,0,0,0,Luke Green,hfx
FC Edmonton,Samuel Gardner,82,0,0,1,3,Sam Gardner,fce
York9 FC,Chris Mannella,100,0,0,1,3,Chris Mannella,y9
Valour FC,Shaan Hundal,232,0,0,1,7,Shaan Hundal,val
Forge FC,Gabriel Wiethaeuper-Balbinotti,203,0,0,1,8,Gabriel Balbinotti,for
Valour FC,Daryl Fordyce,164,0,0,0,5,Daryl Fordyce,val
Cavalry FC,José Hernández,102,0,0,1,5,Jose Hernandez,cav
FC Edmonton,Kareem Moses,140,0,0,0,3,Kareem Moses,fce
Cavalry FC,Sergio Camargo,130,0,0,1,1,Sergio Camargo,cav
HFX Wanderers FC,Ibrahima Sanoh,124,0,0,0,1,Ibrahima Sanoh,hfx
Cavalry FC,Jair Ayrton Córdova Carpio,71,0,0,0,0,Jair Córdova,cav
Forge FC,Baj Maan,90,0,0,0,0,Baj Maan,for
Valour FC,Yohan Le Bourhis,90,0,0,0,2,Yohan Le Bourhis,val
Valour FC,Solomon Kojo Antwi,80,0,0,0,3,Solomon Kojo Antwi,val
York9 FC,Michael Petrasso,130,0,0,0,1,Michael Petrasso,y9
Cavalry FC,Aribim Pepple,67,0,0,0,2,Aribim Pepple,cav
FC Edmonton,Dylon Powley,90,0,0,0,0,Dylon Powley,fce
York9 FC,Lowell Wright,128,0,0,0,2,Lowell Wright,y9
Valour FC,Arnold Bouka Moutou,70,0,0,0,1,Arnold Bouka Moutou,val
