game,s,d,m,hs,as,home,hr,away,ar,csh,csa,combined,venue,links
I15,0,25,5,0,2,York9 FC,L,Forge FC,W,0,1,5-25-2019 York9 FC L 0-2 W Forge FC,York Lions Stadium,https://canpl.ca/matchcentre/4p3yxc6c1bq7vi5foh0praaga/highlights
I16,0,25,5,2,0,Cavalry FC,W,HFX Wanderers FC,L,1,0,5-25-2019 Cavalry FC W 2-0 L HFX Wanderers FC,ATCO Field,https://canpl.ca/matchcentre/4plypjjzuotlfysr9ym3f8woa/highlights
I17,0,29,5,1,1,HFX Wanderers FC,D,York9 FC,D,0,0,5-29-2019 HFX Wanderers FC D 1-1 D York9 FC,Wanderers Grounds,https://canpl.ca/matchcentre/4qj49w97y7akocf4ixxx38r56/highlights
I18,0,29,5,2,0,Forge FC,W,FC Edmonton,L,1,0,5-29-2019 Forge FC W 2-0 L FC Edmonton,Tim Hortons Field,https://canpl.ca/matchcentre/4qwuoebydeda6hc2t7c8ky8a2/highlights
I19,0,1,6,2,1,HFX Wanderers FC,W,Pacific FC,L,0,0,6-1-2019 HFX Wanderers FC W 2-1 L Pacific FC,Wanderers Grounds,https://canpl.ca/matchcentre/4r43ebcbfop9iq513hqre6gdm/highlights
I20,0,2,6,0,1,FC Edmonton,L,Valour FC,W,0,1,6-2-2019 FC Edmonton L 0-1 W Valour FC,Clarke Stadium,https://canpl.ca/matchcentre/4rnwigdpceglolacgssquoaqy/highlights
I21,0,15,6,1,0,York9 FC,W,Pacific FC,L,1,0,6-15-2019 York9 FC W 1-0 L Pacific FC,York Lions Stadium,https://canpl.ca/matchcentre/4s2bhlyuzkp953p3w0mdoqdey/highlights
I22,0,15,6,0,3,FC Edmonton,L,Cavalry FC,W,0,1,6-15-2019 FC Edmonton L 0-3 W Cavalry FC,Clarke Stadium,https://canpl.ca/matchcentre/4so3z44cz30hfid178rwth27e/highlights
I23,0,15,6,2,1,Forge FC,W,Valour FC,L,0,0,6-15-2019 Forge FC W 2-1 L Valour FC,Tim Hortons Field,https://canpl.ca/matchcentre/4t5rc4kgrbfy8qpv5lrlignsa/highlights
I24,0,19,6,1,2,HFX Wanderers FC,L,Cavalry FC,W,0,0,6-19-2019 HFX Wanderers FC L 1-2 W Cavalry FC,Wanderers Grounds,https://canpl.ca/matchcentre/4tfd4it6sv7n7x6cvlq4xoewa/highlights
I25,0,19,6,0,0,York9 FC,D,FC Edmonton,D,1,1,6-19-2019 York9 FC D 0-0 D FC Edmonton,York Lions Stadium,https://canpl.ca/matchcentre/4u47motvg0trb2dkt4bpnbsyy/highlights
I26,0,20,6,1,2,Valour FC,L,Pacific FC,W,0,0,6-20-2019 Valour FC L 1-2 W Pacific FC,IG Field,https://canpl.ca/matchcentre/4utuyg569u044xn8dje4lbhii/highlights
I27,0,22,6,0,0,York9 FC,D,HFX Wanderers FC,D,1,1,6-22-2019 York9 FC D 0-0 D HFX Wanderers FC,York Lions Stadium,https://canpl.ca/matchcentre/4v7kvm443j8j9oc0k0kr5fa7e/highlights
I28,0,22,6,0,1,Cavalry FC,L,Forge FC,W,0,1,6-22-2019 Cavalry FC L 0-1 W Forge FC,ATCO Field,https://canpl.ca/matchcentre/4vss0kvhfu78tzig6ibaksnl6/highlights
I29,0,23,6,1,3,Pacific FC,L,FC Edmonton,W,0,0,6-23-2019 Pacific FC L 1-3 W FC Edmonton,Westhills Stadium,https://canpl.ca/matchcentre/4wd6d6al3htq8jwxk4z9b2e0a/highlights
I30,0,26,6,2,0,HFX Wanderers FC,W,Valour FC,L,1,0,6-26-2019 HFX Wanderers FC W 2-0 L Valour FC,Wanderers Grounds,https://canpl.ca/matchcentre/4wnipio218ipvoim5zm3ozq0a/highlights
I31,0,26,6,0,2,York9 FC,L,Cavalry FC,W,0,1,6-26-2019 York9 FC L 0-2 W Cavalry FC,York Lions Stadium,https://canpl.ca/matchcentre/4x5d9c3op0jd4zd5tk7w0lylm/highlights
I32,0,26,6,1,0,FC Edmonton,W,Forge FC,L,1,0,6-26-2019 FC Edmonton W 1-0 L Forge FC,Clarke Stadium,https://canpl.ca/matchcentre/4xcxod07s7mr6wtsej0ymo60a/highlights
I33,0,1,7,1,3,Valour FC,L,York9 FC,W,0,0,7-1-2019 Valour FC L 1-3 W York9 FC,IG Field,https://canpl.ca/matchcentre/4ygmge1gwxxwqy6493t10br6y/highlights
I34,0,1,7,2,0,FC Edmonton,W,HFX Wanderers FC,L,1,0,7-1-2019 FC Edmonton W 2-0 L HFX Wanderers FC,Clarke Stadium,https://canpl.ca/matchcentre/4xl9k0k5zmput7d3mb348balm/highlights
I35,0,1,7,3,1,Pacific FC,W,Cavalry FC,L,0,0,7-1-2019 Pacific FC W 3-1 L Cavalry FC,Westhills Stadium,https://canpl.ca/matchcentre/4y80wf71m0f30yb3hu1lw0lt6/highlights
I36,1,6,7,1,2,Forge FC,L,FC Edmonton,W,0,0,7-6-2019 Forge FC L 1-2 W FC Edmonton,Tim Hortons Field,https://canpl.ca/matchcentre/4ypbcugzi0b9jaqs2xkhvvv56/highlights
I37,1,6,7,1,0,HFX Wanderers FC,W,York9 FC,L,1,0,7-6-2019 HFX Wanderers FC W 1-0 L York9 FC,Wanderers Grounds,https://canpl.ca/matchcentre/4yz3ra9ne1a5j97bpncakl6y2/highlights
I38,1,6,7,2,3,Pacific FC,L,Cavalry FC,W,0,0,7-6-2019 Pacific FC L 2-3 W Cavalry FC,Westhills Stadium,https://canpl.ca/matchcentre/4z7uwbvrigyaaxjbfvbl02d0q/highlights
