game,team,p1,p2,p3,p4,p5,p6,p7,p8,p9,p9,p10,p11,p12,p13,r,s
I81,HFX Wanderers FC,0.54,0.92,0.77,0.67,0.62,0.57,0.52,0.47,0.37,0.77,0.28,0,0,0,2,1
I81,FC Edmonton,0.7,0.96,0.66,0.62,0.6,0.44,0.35,0.32,0.29,0.6,0.52,0,0,0,2,1
I82,Forge FC,0.71,0.89,0.74,0.71,0.48,0.89,0.77,0.52,0.5,0.48,0.42,0,0,0,3,3
I82,Pacific FC,0.54,0.78,0.69,0.5,0.39,0.72,0.69,0.57,0.51,0.79,0.27,0,0,0,1,0
I83,York9 FC,0.93,0.92,0.91,0.86,0.41,0.78,0.65,0.64,0.46,0.7,0.47,0,0,0,2,1
I83,Cavalry FC,0.79,0.91,0.75,0.37,0.33,0.87,0.66,0.66,0.62,0.73,0.64,0,0,0,2,1
I84,Cavalry FC,0.79,0.91,0.75,0.37,0.33,0.87,0.66,0.66,0.62,0.73,0.64,0,0,0,3,4
I84,Valour FC,0.55,0.73,0.71,0.6,0.45,0.9,0.64,0.6,0.41,0.3,0.25,0,0,0,1,1
I85,FC Edmonton,0.7,0.96,0.66,0.62,0.6,0.44,0.35,0.32,0.29,0.6,0.52,0,0,0,1,0
I85,Forge FC,0.71,0.89,0.74,0.71,0.48,0.89,0.77,0.52,0.5,0.48,0.42,0,0,0,3,1
I86,Pacific FC,0.54,0.78,0.69,0.5,0.39,0.72,0.69,0.57,0.51,0.79,0.27,0,0,0,2,1
I86,HFX Wanderers FC,0.54,0.92,0.77,0.67,0.62,0.57,0.52,0.47,0.37,0.77,0.28,0,0,0,2,1
I87,Valour FC,0.55,0.73,0.71,0.6,0.45,0.9,0.64,0.6,0.41,0.3,0.25,0,0,0,3,3
I87,FC Edmonton,0.7,0.96,0.66,0.62,0.6,0.44,0.35,0.32,0.29,0.6,0.52,0,0,0,1,1
I88,Cavalry FC,0.79,0.91,0.75,0.37,0.33,0.87,0.66,0.66,0.62,0.73,0.64,0,0,0,3,2
I88,HFX Wanderers FC,0.54,0.92,0.77,0.67,0.62,0.57,0.52,0.47,0.37,0.77,0.28,0,0,0,1,0
I89,Forge FC,0.71,0.89,0.74,0.71,0.48,0.89,0.77,0.52,0.5,0.48,0.42,0,0,0,3,1
I89,York9 FC,0.93,0.92,0.91,0.86,0.41,0.78,0.65,0.64,0.46,0.7,0.47,0,0,0,1,0
I90,HFX Wanderers FC,0.54,0.92,0.77,0.67,0.62,0.57,0.52,0.47,0.37,0.77,0.28,0,0,0,2,1
I90,Pacific FC,0.54,0.78,0.69,0.5,0.39,0.72,0.69,0.57,0.51,0.79,0.27,0,0,0,2,1
I91,Cavalry FC,0.79,0.91,0.75,0.37,0.33,0.87,0.66,0.66,0.62,0.73,0.64,0,0,0,3,2
I91,Forge FC,0.71,0.89,0.74,0.71,0.48,0.89,0.77,0.52,0.5,0.48,0.42,0,0,0,1,1
I92,York9 FC,0.93,0.92,0.91,0.86,0.41,0.78,0.65,0.64,0.46,0.7,0.47,0,0,0,3,4
I92,Forge FC,0.71,0.89,0.74,0.71,0.48,0.89,0.77,0.52,0.5,0.48,0.42,0,0,0,1,0
I93,Forge FC,0.71,0.89,0.74,0.71,0.48,0.89,0.77,0.52,0.5,0.48,0.42,0,0,0,3,1
I93,Cavalry FC,0.79,0.91,0.75,0.37,0.33,0.87,0.66,0.66,0.62,0.73,0.64,0,0,0,1,0
I94,Valour FC,0.55,0.73,0.71,0.6,0.45,0.9,0.64,0.6,0.41,0.3,0.25,0,0,0,1,0
I94,York9 FC,0.93,0.92,0.91,0.86,0.41,0.78,0.65,0.64,0.46,0.7,0.47,0,0,0,3,4
I95,FC Edmonton,0.7,0.96,0.66,0.62,0.6,0.44,0.35,0.32,0.29,0.6,0.52,0,0,0,3,3
I95,Pacific FC,0.54,0.78,0.69,0.5,0.39,0.72,0.69,0.57,0.51,0.79,0.27,0,0,0,1,1
I96,York9 FC,0.93,0.92,0.91,0.86,0.41,0.78,0.65,0.64,0.46,0.7,0.47,0,0,0,1,0
I96,HFX Wanderers FC,0.54,0.92,0.77,0.67,0.62,0.57,0.52,0.47,0.37,0.77,0.28,0,0,0,3,2
I97,Cavalry FC,0.79,0.91,0.75,0.37,0.33,0.87,0.66,0.66,0.62,0.73,0.64,0,0,0,3,3
I97,FC Edmonton,0.7,0.96,0.66,0.62,0.6,0.44,0.35,0.32,0.29,0.6,0.52,0,0,0,1,1
I98,Pacific FC,0.54,0.78,0.69,0.5,0.39,0.72,0.69,0.57,0.51,0.79,0.27,0,0,0,3,2
I98,Valour FC,0.55,0.73,0.71,0.6,0.45,0.9,0.64,0.6,0.41,0.3,0.25,0,0,0,1,0
